,Code,Description,Relative Value,FUD,PC/TC Split
,43450,"Dilation of esophagus, by unguided sound or bougie, single or multiple passes",0.82,000,
,43453,"Dilation of esophagus, over guide wire",1.52,000,
,43460,"Esophagogastric tamponade, with balloon (Sengstaken type)",2.45,000,
,43496,Free jejunum transfer with microvascular anastomosis,BR,090,
,43499,"Unlisted procedure, esophagus",BR,YYY,
,43500,Gastrotomy; with exploration or foreign body removal,7.01,090,
,43501,Gastrotomy; with suture repair of bleeding ulcer,9.69,090,
,43502,"Gastrotomy; with suture repair of pre-existing esophagogastric laceration (eg, Mallory-Weiss)",9.69,090,
,43510,"Gastrotomy; with esophageal dilation and insertion of permanent intraluminal tube (eg, Celestin or Mousseaux-Barbin)",6.19,090,
,43520,"Pyloromyotomy, cutting of pyloric muscle (Fredet-Ramstedt type operation)",7.01,090,
,43605,"Biopsy of stomach, by laparotomy",8.18,090,
,43610,"Excision, local; ulcer or benign tumor of stomach",8.99,090,
,43611,"Excision, local; malignant tumor of stomach",10.34,090,
,43620,"Gastrectomy, total; with esophagoenterostomy",16.35,090,
,43621,"Gastrectomy, total; with Roux-en-Y reconstruction",21.61,090,
,43622,"Gastrectomy, total; with formation of intestinal pouch, any type",23.65,090,
,43631,"Gastrectomy, partial, distal; with gastroduodenostomy",11.68,090,
,43632,"Gastrectomy, partial, distal; with gastrojejunostomy",11.68,090,
,43633,"Gastrectomy, partial, distal; with Roux-en-Y reconstruction",15.42,090,
,43634,"Gastrectomy, partial, distal; with formation of intestinal pouch",18.98,090,
+,43635,Vagotomy when performed with partial distal gastrectomy (List separately in addi- tion to code[s] for primary procedure),4.38,ZZZ,
,43640,"Vagotomy including pyloroplasty, with or without gastrostomy; truncal or selective",11.27,090,
,43641,"Vagotomy including pyloroplasty, with or without gastrostomy; parietal cell (highly selective)",13.43,090,
,43644,"Laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and Roux-en-Y gastroenterostomy (roux limb 150 cm or less)",19.62,090,
,43645,"Laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and small intestine reconstruction to limit absorption",21.14,090,
,43647,"Laparoscopy, surgical; implantation or replacement of gastric neurostimulator electrodes, antrum",BR,YYY,
,43648,"Laparoscopy, surgical; revision or removal of gastric neurostimulator electrodes, antrum",BR,YYY,
,43651,"Laparoscopy, surgical; transection of vagus nerves, truncal",8.18,090,
,43652,"Laparoscopy, surgical; transection of vagus nerves, selective or highly selective",12.85,090,
,43653,"Laparoscopy, surgical; gastrostomy, without construction of gastric tube (eg, Stamm procedure) (separate procedure)",7.12,090,
,43659,"Unlisted laparoscopy procedure, stomach",BR,YYY,
,43752,"Naso- or oro-gastric tube placement, requiring physician's skill and fluoroscopic guidance (includes fluoroscopy, image documentation and report)",0.70,000,
,43753,"Gastric intubation and aspiration(s) therapeutic, necessitating physician's skill (eg, for gastrointestinal hemorrhage), including lavage if performed",0.18,000,
,43754,"Gastric intubation and aspiration, diagnostic; single specimen (eg, acid analysis)",0.23,000,
,43755,"Gastric intubation and aspiration, diagnostic; collection of multiple fractional specimens with gastric stimulation, single or double lumen tube (gastric secretory study) (eg, histamine, insulin, pentagastrin, calcium, secretin), includes drug administration",0.64,000,
,43756,"Duodenal intubation and aspiration, diagnostic, includes image guidance; single specimen (eg, bile study for crystals or afferent loop culture)",0.58,000,
