,Code,Description,Relative Value,FUD,PC/TC Split
,49325,"Laparoscopy, surgical; with revision of previously placed intraperitoneal cannula or catheter, with removal of intraluminal obstructive material if performed",3.97,010,
+,49326,"Laparoscopy, surgical; with omentopexy (omental tacking procedure) (List sepa- rately in addition to code for primary procedure)",2.10,ZZZ,
+,49327,"Laparoscopy, surgical; with placement of interstitial device(s) for radiation ther- apy guidance (eg, fiducial markers, dosimeter), intra-abdominal, intrapelvic, and/or retroperitoneum, including imaging guidance, if performed, single or multi- ple (List separately in addition to code for primary procedure)",1.28,ZZZ,
,49329,"Unlisted laparoscopy procedure, abdomen, peritoneum and omentum",BR,YYY,
,49400,Injection of air or contrast into peritoneal cavity (separate procedure),0.82,000,
,49402,Removal of peritoneal foreign body from peritoneal cavity,7.01,090,
■,49405,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst); visceral (eg, kidney, liver, spleen, lung/mediastinum), percutaneous",6.50,000,
■,49406,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst); peritoneal or retroperitoneal, percutaneous",6.50,000,
■,49407,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst); peritoneal or retroperitoneal, transvaginal or transrec- tal",1.17,000,
,49411,"Placement of interstitial device(s) for radiation therapy guidance (eg, fiducial markers, dosimeter), percutaneous, intra-abdominal, intra-pelvic (except pros- tate), and/or retroperitoneum, single or multiple",1.99,000,
+,49412,"Placement of interstitial device(s) for radiation therapy guidance (eg, fiducial markers, dosimeter), open, intra-abdominal, intrapelvic, and/or retroperitoneum, including image guidance, if performed, single or multiple (List separately in addi- tion to code for primary procedure)",1.05,ZZZ,
,49418,"Insertion of tunneled intraperitoneal catheter (eg, dialysis, intraperitoneal chemo- therapy instillation, management of ascites), complete procedure, including imag- ing guidance, catheter placement, contrast injection when performed, and radiological supervision and interpretation, percutaneous",3.27,000,
,49419,"Insertion of tunneled intraperitoneal catheter, with subcutaneous port (ie, totally implantable)",4.67,090,
,49421,"Insertion of tunneled intraperitoneal catheter for dialysis, open",4.67,000,
,49422,Removal of tunneled intraperitoneal catheter,3.50,010,
,49423,Exchange of previously placed abscess or cyst drainage catheter under radiologi- cal guidance (separate procedure),1.75,000,
,49424,Contrast injection for assessment of abscess or cyst via previously placed drain- age catheter or tube (separate procedure),0.88,000,
,49425,Insertion of peritoneal-venous shunt,7.36,090,
,49426,Revision of peritoneal-venous shunt,7.36,090,
,49427,"Injection procedure (eg, contrast media) for evaluation of previously placed peri- toneal-venous shunt",0.76,000,
,49428,Ligation of peritoneal-venous shunt,2.34,010,
,49429,Removal of peritoneal-venous shunt,5.96,010,
+,49435,Insertion of subcutaneous extension to intraperitoneal cannula or catheter with remote chest exit site (List separately in addition to code for primary procedure),1.17,ZZZ,
,49436,Delayed creation of exit site from embedded subcutaneous segment of intraperi- toneal cannula or catheter,1.64,010,
,49440,"Insertion of gastrostomy tube, percutaneous, under fluoroscopic guidance includ- ing contrast injection(s), image documentation and report",9.34,010,
,49441,"Insertion of duodenostomy or jejunostomy tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report",10.51,010,
,49442,"Insertion of cecostomy or other colonic tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report",8.99,010,
