Code,Description,Relative Value,FUD,PC/TC Split
65140,"Insertion of ocular implant secondary; after enucleation, muscles attached to implant",7.02,090,
65150,Reinsertion of ocular implant; with or without conjunctival graft,5.15,090,
65155,Reinsertion of ocular implant; with use of foreign material for reinforcement and/or attachment of muscles to implant,7.02,090,
65175,Removal of ocular implant,3.75,090,
65205,"Removal of foreign body, external eye; conjunctival superficial",0.27,000,
65210,"Removal of foreign body, external eye; conjunctival embedded (includes concre- tions), subconjunctival, or scleral nonperforating",0.30,000,
65220,"Removal of foreign body, external eye; corneal, without slit lamp",0.34,000,
65222,"Removal of foreign body, external eye; corneal, with slit lamp",0.38,000,
65235,"Removal of foreign body, intraocular; from anterior chamber of eye or lens",6.09,090,
65260,"Removal of foreign body, intraocular; from posterior segment, magnetic extraction, anterior or posterior route",6.09,090,
65265,"Removal of foreign body, intraocular; from posterior segment, nonmagnetic extraction",7.02,090,
65270,"Repair of laceration; conjunctiva, with or without nonperforating laceration sclera, direct closure",0.56,010,
65272,"Repair of laceration; conjunctiva, by mobilization and rearrangement, without hos- pitalization",0.84,090,
65273,"Repair of laceration; conjunctiva, by mobilization and rearrangement, with hospi- talization",1.40,090,
65275,"Repair of laceration; cornea, nonperforating, with or without removal foreign body",1.22,090,
65280,"Repair of laceration; cornea and/or sclera, perforating, not involving uveal tissue",5.62,090,
65285,"Repair of laceration; cornea and/or sclera, perforating, with reposition or resec- tion of uveal tissue",7.49,090,
65286,"Repair of laceration; application of tissue glue, wounds of cornea and/or sclera",2.81,090,
65290,"Repair of wound, extraocular muscle, tendon and/or Tenon's capsule",3.75,090,
65400,"Excision of lesion, cornea (keratectomy, lamellar, partial), except pterygium",3.93,090,
65410,Biopsy of cornea,0.70,000,
65420,Excision or transposition of pterygium; without graft,3.09,090,
65426,Excision or transposition of pterygium; with graft,4.21,090,
65430,"Scraping of cornea, diagnostic, for smear and/or culture",0.33,000,
65435,"Removal of corneal epithelium; with or without chemocauterization (abrasion, curettage)",0.47,000,
65436,"Removal of corneal epithelium; with application of chelating agent (eg, EDTA)",0.94,090,
65450,"Destruction of lesion of cornea by cryotherapy, photocoagulation or thermocau- terization",0.75,090,
65600,"Multiple punctures of anterior cornea (eg, for corneal erosion, tattoo)",2.53,090,
65710,Keratoplasty (corneal transplant); anterior lamellar,10.30,090,
65730,Keratoplasty (corneal transplant); penetrating (except in aphakia or pseudopha- kia),12.64,090,
65750,Keratoplasty (corneal transplant); penetrating (in aphakia),13.11,090,
65755,Keratoplasty (corneal transplant); penetrating (in pseudophakia),13.58,090,
65756,Keratoplasty (corneal transplant); endothelial,11.52,090,
65757,Backbench preparation of corneal endothelial allograft prior to transplantation (List separately in addition to code for primary procedure) Keratomileusis,BR 11.71,ZZZ,
65760,,,XXX,
65765,Keratophakia,13.58,XXX,
65767,Epikeratoplasty,12.64,XXX,
