,Code,Description,Relative Value,FUD,PC/TC Split
29435,Application of patellar tendon bearing (PTB) cast,0.74,,000,
29440,Adding walker to previously applied cast,,0.20,000,
29445,Application of rigid total contact leg cast,,1.33,000,
29450,"Application of clubfoot cast with molding or manipulation, long or short leg",0.30,,000,
29505,Application of long leg splint (thigh to ankle or toes),,0.44,000,
29515,Application of short leg splint (calf to foot),,0.35,000,
29520,Strapping; hip,,0.31,000,
29530,Strapping; knee,0.24,,000,
29540,Strapping; ankle and/or foot,,0.21,000,
29550,Strapping; toes,,0.13,000,
29580,Strapping; Unna boot,,0.29,000,
29581,"Application of multi-layer compression system; leg (below knee), including ankle and foot",0.44,,000,
29584,"Application of multi-layer compression system; upper arm, forearm, hand, and gers",fin-,0.69,000,
29700,"Removal or bivalving; gauntlet, boot or body cast",,0.25,000,
29705,Removal or bivalving; full arm or full leg cast,,0.25,000,
29710,"Removal or bivalving; shoulder or hip spica, Minerva, or Risser jacket, etc.",,0.30,000,
29720,"Repair of spica, body cast or jacket",,0.15,000,
29730,Windowing of cast,,0.15,000,
29740,Wedging of cast (except clubfoot casts),,0.20,000,
29750,Wedging of clubfoot,cast,0.20,000,
29799,"Unlisted procedure, casting or strapping",,BR,YYY,
29800,"Arthroscopy, temporomandibular joint, diagnostic, with or without synovial (separate procedure)",biopsy,5.62,090,
29804,"Arthroscopy, temporomandibular joint, surgical",9.61,,090,
29805,"Arthroscopy, shoulder, diagnostic, with or without synovial biopsy (separate pro- cedure)",,4.14,090,
29806,"Arthroscopy, shoulder, surgical; capsulorrhaphy",10.71,,090,
29807,"Arthroscopy, shoulder, surgical; repair of SLAP lesion",,10.87,090,
29819,"Arthroscopy, shoulder, surgical; with removal of loose body or foreign body",7.77,,090,
29820,"Arthroscopy, shoulder, surgical; synovectomy, partial",,7.11,090,
29821,"Arthroscopy, shoulder, surgical; synovectomy, complete",,7.77,090,
29822,"Arthroscopy, shoulder, surgical; debridement, limited",,7.55,090,
29823,"Arthroscopy, shoulder, surgical; debridement, extensive",8.20,,090,
29824,"Arthroscopy, shoulder, surgical; distal claviculectomy including distal articular surface (Mumford procedure)",5.18,,090,
29825,"Arthroscopy, shoulder, surgical; with lysis and resection of adhesions, with or without manipulation",,8.18,090,
+ 29826,"Arthroscopy, shoulder, surgical; decompression of subacromial space with partial acromioplasty, with coracoacromial ligament (ie, arch) release, when performed (List separately in addition to code for primary procedure)",,1.97,ZZZ,
29827,"Arthroscopy, shoulder, surgical; with rotator cuff repair",9.32,,090,
29828,"Arthroscopy, shoulder, surgical; biceps tenodesis",,9.83,090,
29830,"Arthroscopy, elbow, diagnostic, with or without synovial biopsy (separate proce- dure)",,4.32,090,
29834,"Arthroscopy, elbow, surgical; with removal of loose body or foreign body",,6.04,090,
29835,"Arthroscopy, elbow, surgical; synovectomy, partial",,8.18,090,
29836,"Arthroscopy, elbow, surgical; synovectomy, complete",,9.71,090,
