,Code,Description,Relative Value,FUD,PC/TC Split
,33910,Pulmonary artery embolectomy; with cardiopulmonary bypass,16.86,090,
,33915,Pulmonary artery embolectomy; without cardiopulmonary bypass,12.64,090,
,33916,"Pulmonary endarterectomy, with or without embolectomy, with cardiopulmonary bypass",16.86,090,
,33917,Repair of pulmonary artery stenosis by reconstruction with patch or graft,21.07,090,
,33920,"Repair of pulmonary atresia with ventricular septal defect, by construction or replacement of conduit from right or left ventricle to pulmonary artery",13.11,090,
,33922,Transection of pulmonary artery with cardiopulmonary bypass,14.05,090,
+,33924,"Ligation and takedown of a systemic-to-pulmonary artery shunt, performed in con- junction with a congenital heart procedure (List separately in addition to code for primary procedure)",2.34,ZZZ,
,33925,Repair of pulmonary artery arborization anomalies by unifocalization; without car- diopulmonary bypass,22.01,090,
,33926,Repair of pulmonary artery arborization anomalies by unifocalization; with cardio- pulmonary bypass,29.50,090,
■,33927,Implantation of a total replacement heart system (artificial heart) with recipient cardiectomy,24.78,XXX,
■,33928,Removal and replacement of total replacement heart system (artificial heart),29.48,XXX,
■,33929,Removal of a total replacement heart system (artificial heart) for heart transplan- tation (List separately in addition to code for primary procedure),11.03,ZZZ,
,33930,Donor cardiectomy-pneumonectomy (including cold preservation),BR,XXX,
,33933,"Backbench standard preparation of cadaver donor heart/lung allograft prior to transplantation, including dissection of allograft from surrounding soft tissues to prepare aorta, superior vena cava, inferior vena cava, and trachea for implanta- tion",BR,XXX,
,33935,Heart-lung transplant with recipient cardiectomy-pneumonectomy,47.63,090,
,33940,Donor cardiectomy (including cold preservation),BR,XXX,
,33944,"Backbench standard preparation of cadaver donor heart allograft prior to trans- plantation, including dissection of allograft from surrounding soft tissues to pre- pare aorta, superior vena cava, inferior vena cava, pulmonary artery, and left atrium for implantation",BR,XXX,
,33945,"Heart transplant, with or without recipient cardiectomy",29.99,090,
■,33946,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; initiation, veno-venous",3.01,XXX,
■,33947,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; initiation, veno-arterial",3.35,XXX,
■,33948,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; daily management, each day, veno-venous",2.33,XXX,
■,33949,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; daily management, each day, veno-arterial",2.26,XXX,
■,33951,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), percutaneous, birth through 5 years of age (includes fluoroscopic guidance, when performed)",4.15,000,
■,33952,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), percutaneous, 6 years and older (includes fluoroscopic guidance, when per- formed)",4.17,000,
■,33953,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), open, birth through 5 years of age",4.64,000,
■,33954,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), open, 6 years and older",4.66,000,
