,Code,Description,Relative Value FUD,PC/TC Split
69550,Excision aural glomus tumor; transcanal,9.37,090,
69552,Excision aural glomus tumor; transmastoid,11.24,090,
69554,Excision aural glomus tumor; extended (extratemporal),14.05,090,
69601,Revision mastoidectomy; resulting in complete mastoidectomy,7.02,090,
69602,Revision mastoidectomy; resulting in modified radical mastoidectomy,11.24,090,
69603,Revision mastoidectomy; resulting in radical mastoidectomy,11.24,090,
69604,Revision mastoidectomy; resulting in tympanoplasty,11.24,090,
69605,Revision mastoidectomy; with apicectomy,12.17,090,
69610,"Tympanic membrane repair, with or without site preparation of perforation for clo- sure, with or without patch",0.84,010,
69620,Myringoplasty (surgery confined to drumhead and donor area),7.49,090,
69631,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; without ossicular chain reconstruction",10.11,090,
69632,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; with ossicular chain reconstruction (eg, postfenestration)",11.43,090,
69633,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; with ossicular chain reconstruction and synthetic prosthesis (eg, partial ossicular replacement prosthesis [PORP], total ossicular replacement prosthesis [TORP])",12.17,090,
69635,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticot- omy, middle ear surgery, and/or tympanic membrane repair); without ossicular chain reconstruction",11.71,090,
69636,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticot- omy, middle ear surgery, and/or tympanic membrane repair); with ossicular chain reconstruction",12.46,090,
69637,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticot- omy, middle ear surgery, and/or tympanic membrane repair); with ossicular chain reconstruction and synthetic prosthesis (eg, partial ossicular replacement pros- thesis [PORP], total ossicular replacement prosthesis [TORP])",13.11,090,
69641,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); without ossicular chain reconstruction",12.64,090,
69642,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with ossicular chain reconstruction",13.3,090,
69643,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with intact or reconstructed wall, without ossicular chain reconstruction",13.11,090,
69644,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with intact or reconstructed canal wall, with ossicu- lar chain reconstruction",13.86,090,
69645,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); radical or complete, without ossicular chain recon- struction",12.64,090,
69646,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); radical or complete, with ossicular chain reconstruc- tion",13.58,090,
69650,Stapes mobilization,6.56,090,
69660,"Stapedectomy or stapedotomy with reestablishment of ossicular continuity, with or without use of foreign material;",10.49,090,
69661,"Stapedectomy or stapedotomy with reestablishment of ossicular continuity, with or without use of foreign material; with footplate drill out",10.49,090,
69662,Revision of stapedectomy or stapedotomy,12.55,090,
69666,Repair oval window fistula,9.37,090,
69667,Repair round window fistula,9.37,090,
69670,Mastoid obliteration (separate procedure),11.24,090,
