,Code,Description,Relative Value,FUD,PC/TC Split
,43886,"Gastric restrictive procedure, open; revision of subcutaneous port component only",3.04,090,
,43887,"Gastric restrictive procedure, open; removal of subcutaneous port component only",2.92,090,
,43888,"Gastric restrictive procedure, open; removal and replacement of subcutaneous port component only",4.09,090,
,43999,"Unlisted procedure, stomach",BR,YYY,
,44005,Enterolysis (freeing of intestinal adhesion) (separate procedure),8.76,090,
,44010,"Duodenotomy, for exploration, biopsy(s), or foreign body removal",8.76,090,
+,44015,"Tube or needle catheter jejunostomy for enteral alimentation, intraoperative, any method (List separately in addition to primary procedure)",4.03,ZZZ,
,44020,"Enterotomy, small intestine, other than duodenum; for exploration, biopsy(s), or foreign body removal",8.76,090,
,44021,"Enterotomy, small intestine, other than duodenum; for decompression (eg, Baker tube)",7.59,090,
,44025,"Colotomy, for exploration, biopsy(s), or foreign body removal",8.76,090,
,44050,"Reduction of volvulus, intussusception, internal hernia, by laparotomy",7.59,090,
,44055,"Correction of malrotation by lysis of duodenal bands and/or reduction of midgut volvulus (eg, Ladd procedure)",10.28,090,
,44100,"Biopsy of intestine by capsule, tube, peroral (1 or more specimens)",1.28,000,
,44110,"Excision of 1 or more lesions of small or large intestine not requiring anastomosis, exteriorization, or fistulization; single enterotomy",7.71,090,
,44111,"Excision of 1 or more lesions of small or large intestine not requiring anastomosis, exteriorization, or fistulization; multiple enterotomies",11.68,090,
,44120,"Enterectomy, resection of small intestine; single resection and anastomosis",10.74,090,
+,44121,"Enterectomy, resection of small intestine; each additional resection and anasto- mosis (List separately in addition to code for primary procedure)",5.37,ZZZ,
,44125,"Enterectomy, resection of small intestine; with enterostomy",11.33,090,
,44126,"Enterectomy, resection of small intestine for congenital atresia, single resection and anastomosis of proximal segment of intestine; without tapering",12.91,090,
,44127,"Enterectomy, resection of small intestine for congenital atresia, single resection and anastomosis of proximal segment of intestine; with tapering",12.91,090,
+,44128,"Enterectomy, resection of small intestine for congenital atresia, single resection and anastomosis of proximal segment of intestine; each additional resection and anastomosis (List separately in addition to code for primary procedure)",6.45,ZZZ,
,44130,"Enteroenterostomy, anastomosis of intestine, with or without cutaneous enteros- tomy (separate procedure)",10.28,090,
,44132,"Donor enterectomy (including cold preservation), open; from cadaver donor",BR,XXX,
,44133,"Donor enterectomy (including cold preservation), open; partial, from living donor",BR,XXX XXX,
,44135,Intestinal allotransplantation; from cadaver donor,BR,,
,44136,Intestinal allotransplantation; from living donor,BR,XXX,
,44137,"Removal of transplanted intestinal allograft, complete",BR,XXX,
+,44139,Mobilization (take-down) of splenic flexure performed in conjunction with partial colectomy (List separately in addition to primary procedure),0.76,ZZZ,
,44140,"Colectomy, partial; with anastomosis",11.68,090,
,44141,"Colectomy, partial; with skin level cecostomy or colostomy",12.26,090,
,44143,"Colectomy, partial; with end colostomy and closure of distal segment (Hartmann type procedure)",12.26,090,
,44144,"Colectomy, partial; with resection, with colostomy or ileostomy and creation of mucofistula",12.85,090,
,44145,"Colectomy, partial; with coloproctostomy (low pelvic anastomosis)",12.85,090,
,44146,"Colectomy, partial; with coloproctostomy (low pelvic anastomosis), with colos- tomy",14.60,090,
