Code,Description,Relative Value,FUD,PC/TC Split
17250,"Chemical cauterization of granulation tissue (ie, proud flesh)",0.22,000,
17260,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.5 cm or less",0.45,010,
17261,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.6 to 1.0 cm",0.61,010,
17262,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), trunk, arms or legs; lesion diameter 1.1 to 2.0 cm",0.74,010,
17263,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), trunk, arms or legs; lesion diameter 2.1 to 3.0 cm",0.83,010,
17264,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), trunk, arms or legs; lesion diameter 3.1 to 4.0 cm",0.92,010,
17266,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), trunk, arms or legs; lesion diameter over 4.0 cm",1.14,010,
17270,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diam- eter 0.5 cm or less",0.54,010,
17271,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diam- eter 0.6 to 1.0 cm",0.67,010,
17272,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diam- eter 1.1 to 2.0 cm",0.81,010,
17273,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diam- eter 2.1 to 3.0 cm",0.97,010,
17274,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diam- eter 3.1 to 4.0 cm",1.05,010,
17276,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diam- eter over 4.0 cm",1.19,010,
17280,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous mem- brane; lesion diameter 0.5 cm or less",0.65,010,
17281,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous mem- brane; lesion diameter 0.6 to 1.0 cm",0.79,010,
17282,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous mem- brane; lesion diameter 1.1 to 2.0 cm",0.92,010,
17283,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous mem- brane; lesion diameter 2.1 to 3.0 cm",1.05,010,
17284,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous mem- brane; lesion diameter 3.1 to 4.0 cm",1.19,010,
17286,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous mem- brane; lesion diameter over 4.0 cm",1.32,010,
17311,"Mohs micrographic technique, including removal of all gross tumor, surgical exci- sion of tissue specimens, mapping, color coding of specimens, microscopic exam- ination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; first stage, up to 5 tissue blocks",3.32,000,
