,Code,Description,Relative Value FUD,PC/TC Split
62230,"Replacement or revision of cerebrospinal fluid shunt, obstructed valve, or distal catheter in shunt system",8.64,090,
62252,Reprogramming of programmable cerebrospinal shunt,0.76,XXX,51/49
62256,Removal of complete cerebrospinal fluid shunt system; without replacement,5.36,090,
62258,Removal of complete cerebrospinal fluid shunt system; with replacement by simi- lar or other shunt at same operation,12.46,090,
62263,"Percutaneous lysis of epidural adhesions using solution injection (eg, hypertonic saline, enzyme) or mechanical means (eg, catheter) including radiologic localiza- tion (includes contrast when administered), multiple adhesiolysis sessions; 2 or more days",3.18,010,
62264,"Percutaneous lysis of epidural adhesions using solution injection (eg, hypertonic saline, enzyme) or mechanical means (eg, catheter) including radiologic localiza- tion (includes contrast when administered), multiple adhesiolysis sessions; 1 day",2.77,010,
62267,"Percutaneous aspiration within the nucleus pulposus, intervertebral disc, or para- vertebral tissue for diagnostic purposes",2,000,
62268,"Percutaneous aspiration, spinal cord cyst or syrinx",5.91,000,
62269,"Biopsy of spinal cord, percutaneous needle",5,000,
62270,"Spinal puncture, lumbar, diagnostic",0.6,000,
62272,"Spinal puncture, therapeutic, for drainage of cerebrospinal fluid (by needle or catheter)",0.82,000,
62273,"Injection, epidural, of blood or clot patch",1.45,000,
62280,"Injection/infusion of neurolytic substance (eg, alcohol, phenol, iced saline solu- tions), with or without other therapeutic substance; subarachnoid",1.36,010,
62281,"Injection/infusion of neurolytic substance (eg, alcohol, phenol, iced saline solu- tions), with or without other therapeutic substance; epidural, cervical or thoracic",1.73,010,
62282,"Injection/infusion of neurolytic substance (eg, alcohol, phenol, iced saline solu- tions), with or without other therapeutic substance; epidural, lumbar, sacral (cau- dal)",1.82,010,
62284,"Injection procedure for myelography and/or computed tomography, lumbar",1.73,000,
62287,"Decompression procedure, percutaneous, of nucleus pulposus of intervertebral disc, any method utilizing needle based technique to remove disc material under fluoroscopic imaging or other form of indirect visualization, with discography and/or epidural injection(s) at the treated level(s), when performed, single or mul- tiple levels, lumbar",11.36,090,
62290,"Injection procedure for discography, each level; lumbar",1.55,000,
62291,"Injection procedure for discography, each level; cervical or thoracic",1.64,000,
62292,"Injection procedure for chemonucleolysis, including discography, intervertebral disc, single or multiple levels, lumbar",9.09,090,
62294,"Injection procedure, arterial, for occlusion of arteriovenous malformation, spinal",1.73,090,
62302,"Myelography via lumbar injection, including radiological supervision and interpre- tation; cervical",1.96,000,
62303,"Myelography via lumbar injection, including radiological supervision and interpre- tation; thoracic",2,000,
62304,"Myelography via lumbar injection, including radiological supervision and interpre- tation; lumbosacral",1.93,000,
62305,"Myelography via lumbar injection, including radiological supervision and interpre- tation; 2 or more regions (eg, lumbar/thoracic, cervical/thoracic, lumbar/cervical, lumbar/thoracic/cervical)",2.1,000,
62320,"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispas- modic, opioid, steroid, other solution), not including neurolytic substances, includ- ing needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; without imaging guidance",1.73,000,
62321,"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispas- modic, opioid, steroid, other solution), not including neurolytic substances, includ- ing needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; with imaging guidance (ie, fluoroscopy or CT)",2,000,
