,Code,Description,Relative Value,FUD
,99384,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, new patient; adolescent (age 12 through 17 years)",N C,XXX
,99385,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, new patient; 18-39 years",N C,XXX
,99386,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, new patient; 40-64 years",N C,XXX
,99387,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, new patient; 65 years and older",N C,XXX
~,99391,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, established patient; infant (age younger than 1 year)",N C,XXX
~,99392,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, established patient; early childhood (age 1 through 4 years)",N C,XXX
~,99393,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, established patient; late childhood (age 5 through 11 years)",N C,XXX
~,99394,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, established patient; adolescent (age 12 through 17 years)",N C,XXX
~,99395,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, established patient; 18-39 years",N C,XXX
~,99396,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, established patient; 40-64 years",N C,XXX
~,99397,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guid- ance/risk factor reduction interventions, and the ordering of laboratory/diagnostic proce- dures, established patient; 65 years and older",N C,XXX
,99401,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 15 minutes,N C,XXX
,99402,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 30 minutes,N C,XXX
,99403,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 45 minutes,N C,XXX
,99404,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 60 minutes,N C,XXX
,99406,"S moking and tobacco use cessation counseling visit; intermediate, greater than 3 minutes up to 10 minutes",1.69,XXX
,99407,"S moking and tobacco use cessation counseling visit; intensive, greater than 10 minutes",3.38,XXX
,99408,"Alcohol and/or substance (other than tobacco) abuse structured screening (eg, AUDIT, DA S T), and brief intervention ( S BI) services; 15 to 30 minutes",4.06,XXX
,99409,"Alcohol and/or substance (other than tobacco) abuse structured screening (eg, AUDIT,",7.95,XXX
