,Code Description,Relative Value,FUD,PC/TC Split
53230,Excision of urethral diverticulum (separate procedure); female,5.62,090,
53235,Excision of urethral diverticulum (separate procedure); male,5.62,090,
53240,"Marsupialization of urethral diverticulum, male or female",2.34,090,
53250,Excision of bulbourethral gland (Cowper's gland),5.15,090,
53260,"Excision or fulguration; urethral polyp(s), distal urethra",0.66,010,
53265,Excision or fulguration; urethral caruncle,1.4,010,
53270,Excision or fulguration; Skene's glands,1.4,010,
53275,Excision or fulguration; urethral prolapse,1.87,010,
53400,"Urethroplasty; first stage, for fistula, diverticulum, or stricture (eg, Johannsen type)",4.68,090,
53405,"Urethroplasty; second stage (formation of urethra), including urinary diversion",6.56,090,
53410,"Urethroplasty, 1-stage reconstruction of male anterior urethra",7.49,090,
53415,"Urethroplasty, transpubic or perineal, 1-stage, for reconstruction or repair of pros- tatic or membranous urethra",8.43,090,
53420,"Urethroplasty, 2-stage reconstruction or repair of prostatic or membranous ure- thra; first stage",8.43,090,
53425,"Urethroplasty, 2-stage reconstruction or repair of prostatic or membranous ure- thra; second stage",8.43,090,
53430,"Urethroplasty, reconstruction of female urethra",6.56,090,
53431,"Urethroplasty with tubularization of posterior urethra and/or lower bladder for incontinence (eg, Tenago, Leadbetter procedure)",8.43,090,
53440,"Sling operation for correction of male urinary incontinence (eg, fascia or syn- thetic)",8.43,090,
53442,"Removal or revision of sling for male urinary incontinence (eg, fascia or synthetic)",2.81,090,
53444,Insertion of tandem cuff (dual cuff),6.13,090,
53445,"Insertion of inflatable urethral/bladder neck sphincter, including placement of pump, reservoir, and cuff",7.21,090,
53446,"Removal of inflatable urethral/bladder neck sphincter, including pump, reservoir, and cuff",5.9,090,
53447,"Removal and replacement of inflatable urethral/bladder neck sphincter including pump, reservoir, and cuff at the same operative session",6.56,090,
53448,"Removal and replacement of inflatable urethral/bladder neck sphincter including pump, reservoir, and cuff through an infected field at the same operative session including irrigation and debridement of infected tissue",9.11,090,
53449,"Repair of inflatable urethral/bladder neck sphincter, including pump, reservoir, and cuff",4.68,090,
53450,"Urethromeatoplasty, with mucosal advancement",1.87,090,
53460,"Urethromeatoplasty, with partial excision of distal urethral segment (Richardson type procedure)",2.06,090,
53500,"Urethrolysis, transvaginal, secondary, open, including cystourethroscopy (eg, postsurgical obstruction, scarring)",5.53,090,
53502,"Urethrorrhaphy, suture of urethral wound or injury, female",4.68,090,
53505,"Urethrorrhaphy, suture of urethral wound or injury; penile",4.68,090,
53510,"Urethrorrhaphy, suture of urethral wound or injury; perineal",6.09,090,
53515,"Urethrorrhaphy, suture of urethral wound or injury; prostatomembranous",9.37,090,
53520,"Closure of urethrostomy or urethrocutaneous fistula, male (separate procedure)",3.28,090,
53600,"Dilation of urethral stricture by passage of sound or urethral dilator, male; initial",0.28,000,
53601,"Dilation of urethral stricture by passage of sound or urethral dilator, male; subse- quent",0.21,000,
53605,"Dilation of urethral stricture or vesical neck by passage of sound or urethral dila- tor, male, general or conduction (spinal) anesthesia",0.66,000,
53620,"Dilation of urethral stricture by passage of filiform and follower, male; initial",0.4,000,
