,Code,Description,Relative Value,FUD,PC/TC Split
,96116,"Neurobehavioral status exam (clinical assessment of thinking, reasoning and judgment, eg, acquired knowledge, attention, language, memory, planning and problem solving, and visual spatial abilities), per hour of the psychologist's or phy- sician's time, both face-to-face time with the patient and time interpreting test results and preparing the report",27.39,XXX,
,96118,"Neuropsychological testing (eg, Halstead-Reitan Neuropsychological Battery, Wechsler Memory Scales and Wisconsin Card Sorting Test), per hour of the psy- chologist's or physician's time, both face-to-face time administering tests to the patient and time interpreting these test results and preparing the report",29.59,XXX,
,96119,"Neuropsychological testing (eg, Halstead-Reitan Neuropsychological Battery, Wechsler Memory Scales and Wisconsin Card Sorting Test), with qualified health care professional interpretation and report, administered by technician, per hour of technician time, face-to-face",16.57,XXX,
,96120,"Neuropsychological testing (eg, Wisconsin Card Sorting Test), administered by a computer, with qualified health care professional interpretation and report",12.18,XXX,
,96125,"Standardized cognitive performance testing (eg, Ross Information Processing Assessment) per hour of a qualified health care professional's time, both face-to-face time administering tests to the patient and time interpreting these test results and preparing the report",23.84,XXX,
,96127,"Brief emotional/behavioral assessment (eg, depression inventory, attention-defi- cit/hyperactivity disorder [ADHD] scale), with scoring and documentation, per standardized instrument",1.23,XXX,
,96150,"Health and behavior assessment (eg, health-focused clinical interview, behavioral observations, psychophysiological monitoring, health-oriented questionnaires), each 15 minutes face-to-face with the patient; initial assessment",5.92,XXX,
,96151,"Health and behavior assessment (eg, health-focused clinical interview, behavioral observations, psychophysiological monitoring, health-oriented questionnaires), each 15 minutes face-to-face with the patient; re-assessment",2.96,XXX,
,96152,"Health and behavior intervention, each 15 minutes, face-to-face; individual",2.96,XXX,
,96153,"Health and behavior intervention, each 15 minutes, face-to-face; group (2 or more patients)",4.23,XXX,
,96154,"Health and behavior intervention, each 15 minutes, face-to-face; family (with the patient present)",4.23,XXX,
,96155,"Health and behavior intervention, each 15 minutes, face-to-face; family (without the patient present)",4.23,XXX,
,96160,"Administration of patient-focused health risk assessment instrument (eg, health hazard appraisal) with scoring and documentation, per standardized instrument",0.75,ZZZ,
,96161,"Administration of caregiver-focused health risk assessment instrument (eg, depression inventory) for the benefit of the patient, with scoring and documenta- tion, per standardized instrument",0.75,ZZZ,
,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",9.64,XXX,
+,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",4.06,ZZZ,
,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",10.99,XXX,
+,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary proce- dure)",5.07,ZZZ,
+,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",7.27,ZZZ,
+,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary proce- dure)",4.23,ZZZ,
,96369,"Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); ini- tial, up to 1 hour, including pump set-up and establishment of subcutaneous infu- sion site(s)",24.52,XXX,
