,Code,Description,Relative Value,FUD,PC/TC Split
■ +,34709,"Placement of extension prosthesis(es) distal to the common iliac artery(ies) or proximal to the renal artery(ies) for endovascular repair of infrarenal abdominal aortic or iliac aneurysm, false aneurysm, dissection, penetrating ulcer, including pre-procedure sizing and device selection, all nonselective catheterization(s), all associated radiological supervision and interpretation, and treatment zone angio- plasty/stenting, when performed, per vessel treated (List separately in addition to code for primary procedure)",3.15,ZZZ,
■,34710,"Delayed placement of distal or proximal extension prosthesis for endovascular repair of infrarenal abdominal aortic or iliac aneurysm, false aneurysm, dissection, endoleak, or endograft migration, including pre-procedure sizing and device selection, all nonselective catheterization(s), all associated radiological supervi- sion and interpretation, and treatment zone angioplasty/stenting, whenperformed; initial vessel treated",7.80,090,
■ +,34711,"Delayed placement of distal or proximal extension prosthesis for endovascular repair of infrarenal abdominal aortic or iliac aneurysm, false aneurysm, dissection, endoleak, or endograft migration, including pre-procedure sizing and device selection, all nonselective catheterization(s), all associated radiological supervi- sion and interpretation, and treatment zone angioplasty/stenting, whenperformed; each additional vessel treated (List separately in addition to code for primary pro- cedure)",2.91,ZZZ,
■,34712,"Transcatheter delivery of enhanced fixation device(s) to the endograft (eg, anchor, screw, tack) and all associated radiological supervision and interpretation",6.67,090,
■ +,34713,"Percutaneous access and closure of femoral artery for delivery of endograft through a large sheath (12 French or larger), including ultrasound guidance, when performed, unilateral (List separately in addition to code for primary procedure)",1.26,ZZZ,
■ +,34714,"Open femoral artery exposure with creation of conduit for delivery of endovascu- lar prosthesis or for establishment of cardiopulmonary bypass, by groin incision, unilateral (List separately in addition to code for primary procedure)",2.63,ZZZ,
■ +,34715,"Open axillary/subclavian artery exposure for delivery of endovascular prosthesis by infraclavicular or supraclavicular incision, unilateral (List separately in addition to code for primary procedure)",2.94,ZZZ,
■ +,34716,"Open axillary/subclavian artery exposure with creation of conduit for delivery of endovascular prosthesis or for establishment of cardiopulmonary bypass, by infra- clavicular or supraclavicular incision, unilateral (List separately in addition to code for primary procedure)",3.65,ZZZ,
+,34808,Endovascular placement of iliac artery occlusion device (List separately in addi- tion to code for primary procedure),3.37,ZZZ,
■ +,34812,"Open femoral artery exposure for delivery of endovascular prosthesis, by groin incision, unilateral (List separately in addition to code for primary procedure)",2.46,ZZZ,
+,34813,Placement of femoral-femoral prosthetic graft during endovascular aortic aneu- rysm repair (List separately in addition to code for primary procedure),3.37,ZZZ,
■ +,34820,"Open iliac artery exposure for delivery of endovascular prosthesis or iliac occlu- sion during endovascular therapy, by abdominal or retroperitoneal incision, unilat- eral (List separately in addition to code for primary procedure)",4.16,ZZZ,
,34830,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; tube prosthesis",15.45,090,
34831,"arterial trauma, following unsuccessful endovascular repair;","Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated aorto-bi-iliac pros- thesis",17.33,090,
34832,,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis",17.33,090,
■ +,34833,"Open iliac artery exposure with creation of conduit for delivery of endovascular prosthesis or for establishment of cardiopulmonary bypass, by abdominal or retro- peritoneal incision, unilateral (List separately in addition to code for primary pro-",3.84,ZZZ,
■ +,34834,"Open brachial artery exposure for delivery of endovascular prosthesis, unilateral (List separately in addition to code for primary procedure)",1.92,ZZZ,
■,34839,Physician planning of a patient-specific fenestrated visceral aortic endograft requiring a minimum of 90 minutes of physician time,BR,YYY,
