Code,Description,Relative Value,FUD,PC/TC Split
86635,Antibody; Coccidioides,29.57,XXX,0/100
86638,Antibody; Coxiella burnetii (Q fever),24.64,XXX,0/100
86641,Antibody; Cryptococcus,18.48,XXX,0/100
86644,Antibody; cytomegalovirus (CMV),28.34,XXX,0/100
86645,"Antibody; cytomegalovirus (CMV), IgM",31.42,XXX,0/100
86648,Antibody; Diphtheria,27.11,XXX,0/100
86651,"Antibody; encephalitis, California (La Crosse)",24.64,XXX,0/100
86652,"Antibody; encephalitis, Eastern equine",24.64,XXX,0/100
86653,"Antibody; encephalitis, St. Louis",24.64,XXX,0/100
86654,"Antibody; encephalitis, Western equine",24.64,XXX,0/100
86658,"Antibody; enterovirus (eg, coxsackie, echo, polio)",24.64,XXX,0/100
86663,"Antibody; Epstein-Barr (EB) virus, early antigen (EA)",29.57,XXX,0/100
86664,"Antibody; Epstein-Barr (EB) virus, nuclear antigen (EBNA)",29.57,XXX,0/100
86665,"Antibody; Epstein-Barr (EB) virus, viral capsid (VCA)",32.04,XXX,0/100
86666,Antibody; Ehrlichia,27.72,XXX,0/100
86668,Antibody; Francisella tularensis,18.48,XXX,0/100
86671,"Antibody; fungus, not elsewhere specified",33.89,XXX,0/100
86674,Antibody; Giardia lamblia,24.64,XXX,0/100
86677,Antibody; Helicobacter pylori,33.27,XXX,0/100
86682,"Antibody; helminth, not elsewhere specified",33.89,XXX,0/100
86684,Antibody; Haemophilus influenza,30.81,XXX,0/100
86687,Antibody; HTLV-I,24.64,XXX,0/100
86688,Antibody; HTLV-II,23.41,XXX,0/100
86689,"Antibody; HTLV or HIV antibody, confirmatory test (eg, Western Blot)",32.65,XXX,0/100
86692,"Antibody; hepatitis, delta agent",30.81,XXX,0/100
86694,"Antibody; herpes simplex, non-specific type test",27.11,XXX,0/100
86695,"Antibody; herpes simplex, type 1",27.11,XXX,0/100
86696,"Antibody; herpes simplex, type 2",27.11,XXX,0/100
86698,Antibody; histoplasma,24.64,XXX,0/100
86701,Antibody; HIV-1,20.95,XXX,0/100
86702,Antibody; HIV-2,30.81,XXX,0/100
86703,"Antibody; HIV-1 and HIV-2, single result",20.95,XXX,0/100
86704,Hepatitis B core antibody (HBcAb); total,21.56,XXX,0/100
86705,Hepatitis B core antibody (HBcAb); IgM antibody,23.41,XXX,0/100
86706,Hepatitis B surface antibody (HBsAb),19.1,XXX,0/100
86707,Hepatitis Be antibody (HBeAb),20.95,XXX,0/100
86708,Hepatitis A antibody (HAAb),22.8,XXX,0/100
86709,"Hepatitis A antibody (HAAb), IgM antibody",21.56,XXX,0/100
86710,Antibody; influenza virus,20.33,XXX,0/100
86711,Antibody; JC (John Cunningham) virus,15.84,XXX,0/100
86713,Antibody; Legionella,29.57,XXX,0/100
86717,Antibody; Leishmania,24.64,XXX,0/100
86720,Antibody; Leptospira,24.64,XXX,0/100
86723,Antibody; Listeria monocytogenes,24.64,XXX,0/100
86727,Antibody; lymphocytic choriomeningitis,24.64,XXX,0/100
