,Code,Description,Relative Value,FUD,PC/TC Split
+,15131,"Dermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.67,ZZZ,
,15135,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cmor less, or 1%of body area of infants and children",5.07,090,
+,15136,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.63,ZZZ,
,15150,"Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less",4,090,
+,15151,"Tissue cultured skin autograft, trunk, arms, legs; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)",0.88,ZZZ,
+,15152,"Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List sepa- rately in addition to code for primary procedure)",1.08,ZZZ,
,15155,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; first 25 sq cm or less",4.02,090,
+,15156,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; additional 1 sq cm to 75 sq cm (List sepa- rately in addition to code for primary procedure)",1.17,ZZZ,
+,15157,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, geni- talia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each addi- tional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",1.35,ZZZ,
,15200,"Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less",2.78,090,
+,15201,"Full thickness graft, free, including direct closure of donor site, trunk; each addi- tional 20 sq cm, or part thereof (List separately in addition to code for primary pro- cedure)",1.39,ZZZ,
,15220,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less",3.9,090,
+,15221,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)",1.9,ZZZ,
,15240,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less",5.3,090,
+,15241,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)",2.6,ZZZ,
,15260,"Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; 20 sq cm or less",6.5,090,
+,15261,"Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)",3.2,ZZZ,
,15271,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",0.66,000,
+,15272,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cmwoundsurface area, or part thereof (List separately in addition to code for primary procedure)",0.13,ZZZ,
,15273,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children",1.58,000,
+,15274,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cmwoundsurface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",0.33,ZZZ,
