,Code,Description,Relative Value FUD,PC/TC Split
49582,"Repair umbilical hernia, younger than age 5 years; incarcerated or strangulated",5.26,090,
49585,"Repair umbilical hernia, age 5 years or older; reducible",5.26,090,
49587,"Repair umbilical hernia, age 5 years or older; incarcerated or strangulated",6.07,090,
49590,Repair spigelian hernia,5.84,090,
49600,"Repair of small omphalocele, with primary closure",6.42,090,
49605,Repair of large omphalocele or gastroschisis; with or without prosthesis,10.51,090,
49606,"Repair of large omphalocele or gastroschisis; with removal of prosthesis, final reduction and closure, in operating room",7.88,090,
49610,Repair of omphalocele (Gross type operation); first stage,6.42,090,
49611,Repair of omphalocele (Gross type operation); second stage,6.42,090,
49650,"Laparoscopy, surgical; repair initial inguinal hernia",5.61,090,
49651,"Laparoscopy, surgical; repair recurrent inguinal hernia",6.42,090,
49652,"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia (includes mesh insertion, when performed); reducible",8.53,090,
49653,"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia (includes mesh insertion, when performed); incarcerated or strangulated",10.51,090,
49654,"Laparoscopy, surgical, repair, incisional hernia (includes mesh insertion, when performed); reducible",9.58,090,
49655,"Laparoscopy, surgical, repair, incisional hernia (includes mesh insertion, when performed); incarcerated or strangulated",11.68,090,
49656,"Laparoscopy, surgical, repair, recurrent incisional hernia (includes mesh insertion, when performed); reducible",9.69,090,
49657,"Laparoscopy, surgical, repair, recurrent incisional hernia (includes mesh insertion, when performed); incarcerated or strangulated",14.01,090,
49659,"Unlisted laparoscopy procedure, hernioplasty, herniorrhaphy, herniotomy",BR,YYY,
49900,"Suture, secondary, of abdominal wall for evisceration or dehiscence",5.84,090,
49904,"Omental flap, extra-abdominal (eg, for reconstruction of sternal and chest wall defects)",5.84,090,
49905,"Omental flap, intra-abdominal (List separately in addition to code for primary pro- cedure)",4.67,ZZZ,
49906,Free omental flap with microvascular anastomosis,BR,090,
49999,"Unlisted procedure, abdomen, peritoneum and omentum",BR,YYY,
50010,"Renal exploration, not necessitating other specific procedures",7.02,090,
50020,"Drainage of perirenal or renal abscess, open",6.27,090,
50040,"Nephrostomy, nephrotomy with drainage",8.43,090,
50045,"Nephrotomy, with exploration",8.43,090,
50060,Nephrolithotomy; removal of calculus,8.90,090,
50065,Nephrolithotomy; secondary surgical operation for calculus,11.24,090,
50070,Nephrolithotomy; complicated by congenital kidney abnormality,10.86,090,
50075,Nephrolithotomy; removal of large staghorn calculus filling renal pelvis and caly- ces (including anatrophic pyelolithotomy),11.52,090,
50080,"Percutaneous nephrostolithotomy or pyelostolithotomy, with or without dilation, endoscopy, lithotripsy, stenting, or basket extraction; up to 2 cm",9.08,090,
50081,"Percutaneous nephrostolithotomy or pyelostolithotomy, with or without dilation, endoscopy, lithotripsy, stenting, or basket extraction; over 2 cm",10.44,090,
50100,Transection or repositioning of aberrant renal vessels (separate procedure),5.62,090,
50120,Pyelotomy; with exploration,8.43,090,
50125 50130,"Pyelotomy; with drainage, pyelostomy Pyelotomy; with removal of calculus (pyelolithotomy, pelviolithotomy,",8.43 including,090 8.43 090,
