CODE,NY2018 RVU,NY2012 RVU,NY 2018 FUD,NY 2012 FUD,NY2018 PC/TC Split,NY2012 PC/TC Split
34834,1.27,1.92,ZZZ,000,,
36215,2.25,2.25,000,XXX,,
36216,2.90,2.90,000,XXX,,
36217,3.40,3.40,000,XXX,,
36470,0.37,0.37,000,010,,
36471,0.84,0.84,000,010,,
41530,24.64,24.64,000,010,,
43775,11.68,11.68,090,XXX,,
51784,0.66,0.66,XXX,000,85/15,85/15
51785,0.66,0.66,XXX,000,85/15,85/15
55970,BR,BR,YYY,XXX,,
55980,BR,BR,YYY,XXX,,
65778,11.24,11.24,000,010,,
65779,8.90,8.90,000,010,,
67101,7.96,7.96,010,090,,
67105,7.96,7.96,010,090,,
67227,5.53,5.53,010,090,,
67228,5.71,5.71,010,090,,
76932,4.41,4.41,YYY,XXX,45/55,45/55
76940,4.49,4.49,YYY,XXX,20/80,20/80
77002,2.81,2.81,ZZZ,XXX,34/66,34/66
77003,2.73,2.73,ZZZ,XXX,38/62,38/62
77778,31.88,31.88,000,090,80/20,80/20
88334,25.26,25.26,ZZZ,XXX,75/25,75/25
95831,0.00,5.16,XXX,XXX,,
95832,0.00,5.83,XXX,XXX,,
95833,0.00,13.53,XXX,XXX,,
95834,0.00,14.88,XXX,XXX,,
95851,0.00,5.41,XXX,XXX,,
95852,0.00,5.41,XXX,XXX,,
97010,0.55,2.37,XXX,XXX,,
97750,0.00,5.41,XXX,XXX,,
