,Code,Description,Relative Value FUD,PC/TC Split
■,"20240 Biopsy, non","bone, open; superficial (eg, sternum, spinous process, rib, patella, olecra- process, calcaneus, tarsal, metatarsal, carpal, metacarpal, phalanx)",1.71 000,
■ 20245,"Biopsy, bone, open; deep (eg, humeral shaft, ischium, femoral shaft)",2.90,000,
20250,"Biopsy, vertebral body, open; thoracic",5.00,010,
20251,"Biopsy, vertebral body, open; lumbar or cervical",3.00,010,
20500,Injection of sinus tract; therapeutic (separate procedure),0.25,010,
20501,Injection of sinus tract; diagnostic (sinogram),0.25,000,
20520,Removal of foreign body in muscle or tendon sheath; simple,0.60,010,
20525,Removal of foreign body in muscle or tendon sheath; deep or complicated,2.60,010,
20526,"Injection, therapeutic (eg, local anesthetic, corticosteroid), carpal tunnel",0.31,000,
20527,"Injection, enzyme (eg, collagenase), palmar fascial cord (ie, Dupuytren's contrac- ture)",0.75,000,
20550,"Injection(s); single tendon sheath, or ligament, aponeurosis (eg, plantar ""fascia"")",0.44,000,
20551,Injection(s); single tendon origin/insertion,0.44,000,
20552,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)",0.47,000,
20553,"Injection(s); single or multiple trigger point(s), 3 or more muscles",0.52,000,
20555,Placement of needles or catheters into muscle and/or soft tissue for subsequent interstitial radioelement application (at the time of or subsequent to the proce- dure),2.17,000,
■ 20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",0.28,000,
■ 20604,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); with ultrasound guidance, with permanent recording and reporting",0.71,000,
■ 20605,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, tem- poromandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); with- out ultrasound guidance",0.31,000,
■ 20606,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, tem- poromandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); with ultrasound guidance, with permanent recording and reporting",0.79,000,
■ 20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",0.25,000,
■ 20611,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); with ultrasound guidance, with permanent recording and reporting",0.89,000,
20612,Aspiration and/or injection of ganglion cyst(s) any location,0.31,000,
20615,Aspiration and injection for treatment of bone cyst,0.80,010,
20650,"Insertion of wire or pin with application of skeletal traction, including removal (separate procedure)",0.70,010,
20660,"Application of cranial tongs, caliper, or stereotactic frame, including removal (sep- arate procedure)",2.00,000,
20661,"Application of halo, including removal; cranial",,2.00 090,
20662,"Application of halo, including removal; pelvic",2.00,090,
20663,"Application of halo, including removal; femoral",2.00,090,
20664,"Application of halo, including removal, cranial, 6 or more pins placed, for thin skull osteology (eg, pediatric patients, hydrocephalus, osteogenesis imperfecta)",5.36,090,
■ 20665,Removal of tongs or halo applied by another individual,0.20,010,
20670,"Removal of implant; superficial (eg, buried wire, pin or rod) (separate procedure)",0.35,010,
20680 20690,"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate) Application of a uniplane (pins or wires in","1 plane), unilateral, external fixation sys- 3.52",2.40 090 090,
