,Code,Description,Relative Value,FUD,PC/TC Split
■,43264,Endoscopic retrograde cholangiopancreatography (ERCP); with removal of cal- culi/debris from biliary/pancreatic duct(s),7.36,000,
■,43265,"Endoscopic retrograde cholangiopancreatography (ERCP); with destruction of calculi, any method (eg, mechanical, electrohydraulic, lithotripsy)",6.89,000,
■,43266,"Esophagogastroduodenoscopy, flexible, transoral; with placement of endoscopic stent (includes pre- and post-dilation and guide wire passage, when performed)",3.85,000,
■,43270,"Esophagogastroduodenoscopy, flexible, transoral; with ablation of tumor(s), polyp(s), or other lesion(s) (includes pre- and post-dilation and guide wire pas- sage, when performed)",4.26,000,
■ +,43273,Endoscopic cannulation of papilla with direct visualization of pancreatic/common bile duct(s) (List separately in addition to code(s) for primary procedure),1.64,ZZZ,
■,43274,"Endoscopic retrograde cholangiopancreatography (ERCP); with placement of endoscopic stent into biliary or pancreatic duct, including pre- and post-dilation and guide wire passage, when performed, including sphincterotomy, when per- formed, each stent",4.10,000,
■ 43275,,Endoscopic retrograde cholangiopancreatography (ERCP); with removal of foreign body(s) or stent(s) from biliary/pancreatic duct(s),3.34,000,
■,43276,"Endoscopic retrograde cholangiopancreatography (ERCP); with removal and exchange of stent(s), biliary or pancreatic duct, including pre- and post-dilation and guide wire passage, when performed, including sphincterotomy, when per- formed, each stent exchanged",4.27,000,
■,43277,"Endoscopic retrograde cholangiopancreatography (ERCP); with trans-endoscopic balloon dilation of biliary/pancreatic duct(s) or of ampulla (sphincteroplasty), including sphincterotomy, when performed, each duct",6.31,000,
■,43278,"Endoscopic retrograde cholangiopancreatography (ERCP); with ablation of tumor(s), polyp(s), or other lesion(s), including pre- and post-dilation and guide wire passage, when performed",4.91,000,
43279,,"Laparoscopy, surgical, esophagomyotomy (Heller type), with fundoplasty, when performed",9.34,090,
43280,,"Laparoscopy, surgical, esophagogastric fundoplasty (eg, Nissen, Toupet proce- dures)",11.56,090,
43281,,"Laparoscopy, surgical, repair of paraesophageal hernia, includes fundoplasty, when performed; without implantation of mesh",12.26,090,
,43282,"Laparoscopy, surgical, repair of paraesophageal hernia, includes fundoplasty, when performed; with implantation of mesh",14.01,090,
+,43283,"Laparoscopy, surgical, esophageal lengthening procedure (eg, Collis gastroplasty or wedge gastroplasty) (List separately in addition to code for primary procedure)",1.40,ZZZ,
■,43284,"Laparoscopy, surgical, esophageal sphincter augmentation procedure, placement of sphincter augmentation device (ie, magnetic band), including cruroplasty when performed",5.67,090,
■ 43285,,Removal of esophageal sphincter augmentation device,5.43,090,
■ 43286,nal and,"Esophagectomy, total or near total, with laparoscopic mobilization of the abdomi- mediastinal esophagus and proximal gastrectomy, with laparoscopic pyloric drainage procedure if performed, with open cervical pharyngogastrostomy or esophagogastrostomy (ie, laparoscopic transhiatal esophagectomy)",27.41,090,
■,43287,"Esophagectomy, distal two-thirds, with laparoscopic mobilization of the abdominal and lower mediastinal esophagus and proximal gastrectomy, with laparoscopic pyloric drainage procedure if performed, with separate thoracoscopic mobiliza- tion of the middle and upper mediastinal esophagus and thoracic esophagogas- trostomy (ie, laparoscopic thoracoscopic esophagectomy, Ivor Lewis esophagectomy)",31.30,090,
■,43288,"Esophagectomy, total or near total, with thoracoscopic mobilization of the upper, middle, and lower mediastinal esophagus, with separate laparoscopic proximal gastrectomy, with laparoscopic pyloric drainage procedure if performed, with open cervical pharyngogastrostomy or esophagogastrostomy (ie, thoracoscopic, laparoscopic and cervical incision esophagectomy, McKeown esophagectomy, tri-incisional esophagectomy)",32.66,090,
,43289,"Unlisted laparoscopy procedure, esophagus",BR,YYY,
