,Code,Description,Relative Value FUD,PC/TC Split
67835,"Correction of trichiasis; incision of lid margin, with free mucous membrane graft",4.68,090,
67840,Excision of lesion of eyelid (except chalazion) without closure or with simple direct closure,0.8,010,
67850,Destruction of lesion of lid margin (up to 1 cm),0.7,010,
67875,"Temporary closure of eyelids by suture (eg, Frost suture)",0.94,000,
67880,"Construction of intermarginal adhesions, median tarsorrhaphy, or canthorrhaphy;",2.29,090,
67882,"Construction of intermarginal adhesions, median tarsorrhaphy, or canthorrhaphy; with transposition of tarsal plate",3.28,090,
67900,"Repair of brow ptosis (supraciliary, mid-forehead or coronal approach)",3.44,090,
67901,"Repair of blepharoptosis; frontalis muscle technique with suture or other material (eg, banked fascia)",4.64,090,
67902,Repair of blepharoptosis; frontalis muscle technique with autologous fascial sling (includes obtaining fascia),4.68,090,
67903,"Repair of blepharoptosis; (tarso) levator resection or advancement, internal approach",8.85,090,
67904,"Repair of blepharoptosis; (tarso) levator resection or advancement, external approach",8.43,090,
67906,Repair of blepharoptosis; superior rectus technique with fascial sling (includes obtaining fascia),8.01,090,
67908,"Repair of blepharoptosis; conjunctivo-tarso-Muller's muscle-levator resection (eg, Fasanella-Servat type)",6.56,090,
67909,Reduction of overcorrection of ptosis,5.62,090,
67911,Correction of lid retraction,7.49,090,
67912,"Correction of lagophthalmos, with implantation of upper eyelid lid load (eg, gold weight)",7.49,090,
67914,Repair of ectropion; suture,2.62,090,
67915,Repair of ectropion; thermocauterization,0.8,090,
67916,Repair of ectropion; excision tarsal wedge,3.84,090,
67917,"Repair of ectropion; extensive (eg, tarsal strip operations)",4.68,090,
67921,Repair of entropion; suture,2.01,090,
67922,Repair of entropion; thermocauterization,0.8,090,
67923,Repair of entropion; excision tarsal wedge,3.84,090,
67924,"Repair of entropion; extensive (eg, tarsal strip or capsulopalpebral fascia repairs operation)",4.87,090,
67930,"Suture of recent wound, eyelid, involving lid margin, tarsus, and/or palpebral con- junctiva direct closure; partial thickness",1.73,010,
67935,"Suture of recent wound, eyelid, involving lid margin, tarsus, and/or palpebral con- junctiva direct closure; full thickness",2.34,090,
67938,"Removal of embedded foreign body, eyelid",0.47,010,
67950,Canthoplasty (reconstruction of canthus),5.62,090,
67961,"Excision and repair of eyelid, involving lid margin, tarsus, conjunctiva, canthus, or full thickness, may include preparation for skin graft or pedicle flap with adjacent tissue transfer or rearrangement; up to one-fourth of lid margin",5.15,090,
67966,"Excision and repair of eyelid, involving lid margin, tarsus, conjunctiva, canthus, or full thickness, may include preparation for skin graft or pedicle flap with adjacent tissue transfer or rearrangement; over one-fourth of lid margin",6.56,090,
67971,"Reconstruction of eyelid, full thickness by transfer of tarsoconjunctival flap from opposing eyelid; up to two-thirds of eyelid, 1 stage or first stage",6.56,090,
67973,"Reconstruction of eyelid, full thickness by transfer of tarsoconjunctival flap from opposing eyelid; total eyelid, lower, 1 stage or first stage",7.49,090,
67974,"Reconstruction of eyelid, full thickness by transfer of tarsoconjunctival flap from opposing eyelid; total eyelid, upper, 1 stage or first stage",8.43,090,
