,Code,Description,Relative Value,FUD,PC/TC Split
■,36906,"Percutaneous transluminal mechanical thrombectomy and/or infusion for throm- bolysis, dialysis circuit, any method, including all imaging and radiological super- vision and interpretation, diagnostic angiography, fluoroscopic guidance, catheter placement(s), and intraprocedural pharmacological thrombolytic injection(s); with transcatheter placement of intravascular stent(s), peripheral dialysis segment, including all imaging and radiological supervision and interpretation necessary to perform the stenting, and all angioplasty within the peripheral dialysis circuit",54.84,000,
■ +,36907,"Transluminal balloon angioplasty, central dialysis segment, performed through dialysis circuit, including all imaging and radiological supervision and interpreta- tion required to perform the angioplasty (List separately in addition to code for pri- mary procedure)",6.08,ZZZ,
■ +,36908,"Transcatheter placement of intravascular stent(s), central dialysis segment, per- formed through dialysis circuit, including all imaging and radiological supervision and interpretation required to perform the stenting, and all angioplasty in the cen- tral dialysis segment (List separately in addition to code for primary procedure)",21.8,ZZZ,
■ +,36909,"Dialysis circuit permanent vascular embolization or occlusion (including main cir- cuit or any accessory veins), endovascular, including all imaging and radiological supervision and interpretation necessary to complete the intervention (List sepa- rately in addition to code for primary procedure)",15.85,ZZZ,
,37140,"Venous anastomosis, open; portocaval",14.52,090,
,37145,"Venous anastomosis, open; renoportal",14.52,090,
,37160,"Venous anastomosis, open; caval-mesenteric",14.52,090,
,37180,"Venous anastomosis, open; splenorenal, proximal",14.52,090,
,37181,"Venous anastomosis, open; splenorenal, distal (selective decompression of esophagogastric varices, any technique)",14.52,090,
,37182,"Insertion of transvenous intrahepatic portosystemic shunt(s) (TIPS) (includes venous access, hepatic and portal vein catheterization, portography with hemody- namic evaluation, intrahepatic tract formation/dilatation, stent placement and all associated imaging guidance and documentation)",7.99,000,
,37183,"Revision of transvenous intrahepatic portosystemic shunt(s) (TIPS) (includes venous access, hepatic and portal vein catheterization, portography with hemody- namic evaluation, intrahepatic tract recanulization/dilatation, stent placement and all associated imaging guidance and documentation)",3.77,000,
■,37184,"Primary percutaneous transluminal mechanical thrombectomy, noncoronary, non-intracranial, arterial or arterial bypass graft, including fluoroscopic guidance and intraprocedural pharmacological thrombolytic injection(s); initial vessel",37.55,000,
■ +,37185,"Primary percutaneous transluminal mechanical thrombectomy, noncoronary, non-intracranial, arterial or arterial bypass graft, including fluoroscopic guidance and intraprocedural pharmacological thrombolytic injection(s); second and all subsequent vessel(s) within the same vascular family (List separately in addition to code for primary mechanical thrombectomy procedure)",12.17,ZZZ,
■ +,37186,"Secondary percutaneous transluminal thrombectomy (eg, nonprimary mechani- cal, snare basket, suction technique), noncoronary, non-intracranial, arterial or arterial bypass graft, including fluoroscopic guidance and intraprocedural phar- macological thrombolytic injections, provided in conjunction with another percu- taneous intervention other than primary mechanical thrombectomy (List separately in addition to code for primary procedure)",25.38,ZZZ,
,37187,"Percutaneous transluminal mechanical thrombectomy, vein(s), including intrapro- cedural pharmacological thrombolytic injections and fluoroscopic guidance",36.52,000,
,37188,"Percutaneous transluminal mechanical thrombectomy, vein(s), including intrapro- cedural pharmacological thrombolytic injections and fluoroscopic guidance, repeat treatment on subsequent day during course of thrombolytic therapy",31.56,000,
,37191,"Insertion of intravascular vena cava filter, endovascular approach including vas- cular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoros- copy), when performed",2.25,000,
