,Code,Description,Relative Value,FUD
,99411,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to indi- viduals in a group setting (separate procedure); approximately 30 minutes,NC,XXX
,99412,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to indi- viduals in a group setting (separate procedure); approximately 60 minutes,NC,XXX
 +,99415,"Prolonged clinical staff service (the service beyond the typical service time) during an eval- uation and management service in the office or outpatient setting, direct patient contact with physician supervision; first hour (List separately in addition to code for outpatient Eval- uation and Management service)",1.92,ZZZ
 +,99416,"Prolonged clinical staff service (the service beyond the typical service time) during an eval- uation and management service in the office or outpatient setting, direct patient contact with physician supervision; each additional 30 minutes (List separately in addition to code for prolonged service)",0.89,ZZZ
,99429,Unlisted preventive medicine service,NC,XXX
,99441,"Telephone evaluation and management service by a physician or other qualified health care professional who may report evaluation and management services provided to an estab- lished patient, parent, or guardian not originating from a related E/M service provided within the previous 7 days nor leading to an E/M service or procedure within the next 24 hours or soonest available appointment; 5-10 minutes of medical discussion",5.07,XXX
,99442,"Telephone evaluation and management service by a physician or other qualified health care professional who may report evaluation and management services provided to an estab- lished patient, parent, or guardian not originating from a related E/M service provided within the previous 7 days nor leading to an E/M service or procedure within the next 24 hours or soonest available appointment; 11-20 minutes of medical discussion",8.46,XXX
,99443,"Telephone evaluation and management service by a physician or other qualified health care professional who may report evaluation and management services provided to an estab- lished patient, parent, or guardian not originating from a related E/M service provided within the previous 7 days nor leading to an E/M service or procedure within the next 24 hours or soonest available appointment; 21-30 minutes of medical discussion",10.99,XXX
,99444,"Online evaluation and management service provided by a physician or other qualified health care professional who may report evaluation and management services provided to an established patient or guardian, not originating from a related E/M service provided within the previous 7 days, using the Internet or similar electronic communications network",4.57,XXX
,99446,Interprofessional telephone/Internet assessment and management service provided by a consultative physician including a verbal and written report to the patient's treat- ing/requesting physician or other qualified health care professional; 5-10 minutes of medical consultative discussion and review,3.65,XXX
,99447,Interprofessional telephone/Internet assessment and management service provided by a consultative physician including a verbal and written report to the patient's treat- ing/requesting physician or other qualified health care professional; 11-20 minutes of medi- cal consultative discussion and review,7.23,XXX
,99448,Interprofessional telephone/Internet assessment and management service provided by a consultative physician including a verbal and written report to the patient's treat- ing/requesting physician or other qualified health care professional; 21-30 minutes of medi- cal consultative discussion and review,10.88,XXX
,99449,Interprofessional telephone/Internet assessment and management service provided by a consultative physician including a verbal and written report to the patient's treat- ing/requesting physician or other qualified health care professional; 31 minutes or more of medical consultative discussion and review,14.53,XXX
,99450,"Basic life and/or disability examination that includes: Measurement of height, weight, and blood pressure; Completion of a medical history following a life insurance pro forma; Collec- tion of blood sample and/or urinalysis complying with ""chain of custody"" protocols; and Com- pletion of necessary documentation/certificates.",NC,XXX
,99455,"Work related or medical disability examination by the treating physician that includes: Com- pletion of a medical history commensurate with the patient's condition; Performance of an examination commensurate with the patient's condition; Formulation of a diagnosis, assess- ment of capabilities and stability, and calculation of impairment; Development of future med- ical treatment plan; and Completion of necessary documentation/certificates and report.",BR,XXX
