,Code,Description Relative Value,FUD,PC/TC Split
38792,Injection procedure; radioactive tracer for identification of sentinel node,1.40,000,
38794,"Cannulation, thoracic duct",1.40,090,
38900,"Intraoperative identification (eg, mapping) of sentinel lymph node(s) includes injection of non-radioactive dye, when performed (List separately in addition to code for primary procedure)",1.12,ZZZ,
38999,"Unlisted procedure, hemic or lymphatic system",BR,YYY,
39000,"Mediastinotomy with exploration, drainage, removal of foreign body, or biopsy; cervical approach",4.03,090,
39010,"Mediastinotomy with exploration, drainage, removal of foreign body, or biopsy; transthoracic approach, including either transthoracic or median sternotomy",8.34,090,
39200,Resection of mediastinal cyst,9.37,090,
39220,Resection of mediastinal tumor,10.30,090,
39401,"Mediastinoscopy; includes biopsy(ies) of mediastinal mass (eg, lymphoma), performed",when 3.02,000,
39402,"Mediastinoscopy; with lymph node biopsy(ies) (eg, lung cancer staging)",3.94,000,
39499,"Unlisted procedure, mediastinum",BR,YYY,
39501,"Repair, laceration of diaphragm, any",approach 8.43,090,
39503,"Repair, neonatal diaphragmatic hernia, with or without chest tube insertion and with or without creation of ventral hernia",10.30,090,
39540,"Repair, diaphragmatic hernia (other than neonatal), traumatic; acute",10.68,090,
39541,"Repair, diaphragmatic hernia (other than neonatal), traumatic; chronic",8.05,090,
39545,"Imbrication of diaphragm for eventration, transthoracic or transabdominal, para- lytic or nonparalytic",10.30,090,
39560,"Resection, diaphragm; with simple repair (eg, primary suture)",7.49,090,
39561,"Resection, diaphragm; with complex repair (eg, prosthetic material, local muscle flap)",11.24,090,
39599,"Unlisted procedure, diaphragm",BR,YYY,
40490,Biopsy of lip,0.64,000,
40500,"Vermilionectomy (lip shave), with mucosal advancement",5.66,090,
40510,Excision of lip; transverse wedge excision with primary closure,5.84,090,
40520,Excision of lip; V-excision with primary direct linear closure,4.67,090,
40525,"Excision of lip; full thickness, reconstruction with local flap (eg, Estlander or",fan) 9.34,090,
40527,"Excision of lip; full thickness, reconstruction with cross lip flap (Abbe-Estlander)",10.98,090,
40530,"Resection of lip, more than one-fourth, without reconstruction",4.67,090,
40650,"Repair lip, full thickness; vermilion only",2.92,090,
40652,"Repair lip, full thickness; up to half vertical height",3.85,090,
40654,"Repair lip, full thickness; over one-half vertical height, or complex",5.49,090,
40700,"Plastic repair of cleft lip/nasal deformity; primary, partial or complete, unilateral",12.85,090,
40701,"Plastic repair of cleft lip/nasal deformity; primary bilateral, 1-stage procedure",14.77,090,
40702,"Plastic repair of cleft lip/nasal deformity; primary bilateral, 1 of 2 stages",12.85,090,
40720,"Plastic repair of cleft lip/nasal deformity; secondary, by recreation of defect and reclosure",10.92,090,
40761,"Plastic repair of cleft lip/nasal deformity; with cross lip pedicle flap (Abbe-Est- lander type), including sectioning and inserting of pedicle",15.42,090,
40799,"Unlisted procedure, lips",BR,YYY,
40800,"Drainage of abscess, cyst, hematoma, vestibule of mouth; simple",0.61,010,
40801,"Drainage of abscess, cyst, hematoma, vestibule of mouth; complicated",3.15,010,
40804 40805,"Removal of embedded foreign body, vestibule of mouth; simple Removal of embedded foreign body, vestibule",0.93 of mouth; complicated 2.80,010 010,
