33403,33472,33960,33961,34800,34802
34803,34804,34805,34806,34825,34826
34900,35450,35452,35458,35460,35471
35472,35475,35476,36120,36147,36148
36469,36515,36822,36870,37201,37202
37203,37204,37205,37206,37207,37208
37209,37210,37250,37251,39400,42508
42802,43219,43228,43234,43256,43258
43267,43268,43269,43271,43272,43350
43456,43458,44383,44393,44397,44901
45339,45345,45355,45383,45387,47011
47136,47500,47505,47510,47511,47525
47530,47560,47561,47630,48511,49021
49041,49061,50021,50392,50393,50394
50398,55450,58823,61334,61440,61470
61490,61542,61609,61875,62116,62310
62311,62318,62319,64412,64565,64613
64614,64752,64761,64870,65805,66165
67112,69400,69401,69405,69820,69840
70373,71010,71015,71020,71021,71022
71023,71030,71034,71035,71040,71060
72010,72069,72090,72291,72292,73500
73510,73520,73530,73540,73550,74000
74010,74020,74291,74305,74320,74327
74475,74480,75650,75658,75660,75662
75665,75671,75676,75680,75685,75791
75896,75900,75945,75946,75952,75953
75954,75960,75961,75962,75964,75966
75968,75978,75980,75982,76645,76950
77031,77032,77051,77052,77055,77056
77057,77082,77305,77310,77315,77326
77327,77328,77403,77404,77406,77408
77409,77411,77413,77414,77416,77418
77421,77422,77776,77777,77785,77786
77787,78000,78001,78003,78006,78007
78010,78011,78190,80100,80101,80102
80103,80104,80152,80154,80160,80166
80172,80174,80182,80196,80440,81280
81281,81282,82000,82003,82055,82101
82145,82205,82486,82487,82488,82489
82491,82492,82520,82541,82543,82544
82646,82649,82651,82654,82666,82690
82742,82953,82975,82980,83008,83055
83071,83499,83634,83788,83805,83840
83858,83866,83887,83890,83891,83892
83893,83894,83896,83897,83898,83900
83901,83902,83903,83904,83905,83906
83907,83908,83909,83912,83913,83914
83925,84022,84061,84127,86185,86243
86378,86729,86822,87001,87277,87470
87477,87515,87620,87621,87622,88154
88347 90646,88349 90665,88384 90669,88385 90692,88386 90693,90645 90701
90703,90704,90705,90706,90708,90712
90718,90719,90720,90721,90725,90727 90806
90735,90801,90802,90804,90805 90811,90812
90807 90813,90808 90814,90809 90815,90810 90816,90817,90818
90819,90821,90822,90823,90824,90826
