,Code,Description,Relative Value FUD,PC/TC Split
21725,"Division of sternocleidomastoid for torticollis, open operation; with cast applica- tion",5.47,090,
21740,Reconstructive repair of pectus excavatum or carinatum; open,12.94,090,
21742,"Reconstructive repair of pectus excavatum or carinatum; minimally invasive approach (Nuss procedure), without thoracoscopy",9.83,090,
21743,"Reconstructive repair of pectus excavatum or carinatum; minimally invasive approach (Nuss procedure), with thoracoscopy",12.94,090,
21750,Closure of median sternotomy separation with or without debridement (separate procedure),6.21,090,
21811,"Open treatment of rib fracture(s) with internal fixation, includes thoracoscopic visualization when performed, unilateral; 1-3 ribs",6.32,000,
21812,"Open treatment of rib fracture(s) with internal fixation, includes thoracoscopic visualization when performed, unilateral; 4-6 ribs",7.69,000,
21813,"Open treatment of rib fracture(s) with internal fixation, includes thoracoscopic visualization when performed, unilateral; 7 or more ribs",10.48,000,
21820,Closed treatment of sternum fracture,1.98,090,
21825,Open treatment of sternum fracture with or without skeletal fixation,8.63,090,
21899,"Unlisted procedure, neck or thorax",BR,YYY,
21920,"Biopsy, soft tissue of back or flank; superficial",0.69,010,
21925,"Biopsy, soft tissue of back or flank; deep",2.45,090,
21930,"Excision, tumor, soft tissue of back or flank, subcutaneous; less than 3 cm",3.88,090,
21931,"Excision, tumor, soft tissue of back or flank, subcutaneous; 3 cm or greater",3.52,090,
21932,"Excision, tumor, soft tissue of back or flank, subfascial (eg, intramuscular); less than 5 cm",4.55,090,
21933,"Excision, tumor, soft tissue of back or flank, subfascial (eg, intramuscular); 5 cmor greater",4.97,090,
21935,"Radical resection of tumor (eg, sarcoma), soft tissue of back or flank; less than 5 cm",8.69,090,
21936,"Radical resection of tumor (eg, sarcoma), soft tissue of back or flank; 5 cm or greater",9.63,090,
22010,"Incision and drainage, open, of deep abscess (subfascial), posterior spine; cervi- cal, thoracic, or cervicothoracic",5.59,090,
22015,"Incision and drainage, open, of deep abscess (subfascial), posterior spine; lumbar, sacral, or lumbosacral",5.49,090,
22100,"Partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; cervical",5.24,090,
22101,"Partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; thoracic",5.24,090,
22102,"Partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; lumbar",6.84,090,
22103,"Partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; each additional segment (List separately in addition to code for primary procedure)",1.38,ZZZ,
22110,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; cervical",6.14,090,
22112,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; thoracic",6.14,090,
22114,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; lumbar",6.14,090,
22116,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; each additional vertebral segment (List separately in addition to code for primary procedure)",1.84,ZZZ,
22206,"Osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body subtraction); thoracic",26.39,090,
