,Code,Description,Relative Value,FUD,PC/TC Split
,61711,"Anastomosis, arterial, extracranial-intracranial (eg, middle cerebral/cortical) arteries",19.09,090,
,61720,"Creation of lesion by stereotactic method, including burr hole(s) and localizing and recording techniques, single or multiple stages; globus pallidus or thalamus",17.09,090,
,61735,"Creation of lesion by stereotactic method, including burr hole(s) and localizing and recording techniques, single or multiple stages; subcortical structure(s) other than globus pallidus or thalamus",17.09,090,
,61750,"Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion;",16.36,090,
,61751,"Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion; with computed tomography and/or magnetic resonance guidance",17.09,090,
,61760,Stereotactic implantation of depth electrodes into the cerebrum for long-term sei- zure monitoring,16.36,090,
,61770,"Stereotactic localization, including burr hole(s), with insertion of catheter(s) or probe(s) for placement of radiation source",16.36,090,
+,61781,"Stereotactic computer-assisted (navigational) procedure; cranial, intradural (List separately in addition to code for primary procedure)",2.73,ZZZ,
+,61782,"Stereotactic computer-assisted (navigational) procedure; cranial, extradural (List separately in addition to code for primary procedure)",2.18,ZZZ,
+,61783,Stereotactic computer-assisted (navigational) procedure; spinal (List separately in addition to code for primary procedure),2.27,ZZZ,
,61790,"Creation of lesion by stereotactic method, percutaneous, by neurolytic agent (eg, alcohol, thermal, electrical, radiofrequency); gasserian ganglion",11.18,090,
,61791,"Creation of lesion by stereotactic method, percutaneous, by neurolytic agent (eg, alcohol, thermal, electrical, radiofrequency); trigeminal medullary tract",11.18,090,
,61796,"Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); 1 sim- ple cranial lesion",12.36,090,
+,61797,"Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); each additional cranial lesion, simple (List separately in addition to code for primary procedure)",3.36,ZZZ,
,61798,"Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); 1 complex cranial lesion",12.36,090,
+,61799,"Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); each additional cranial lesion, complex (List separately in addition to code for primary procedure)",4.73,ZZZ,
+,61800,Application of stereotactic headframe for stereotactic radiosurgery (List sepa- rately in addition to code for primary procedure),2.36,ZZZ,
,61850,"Twist drill or burr hole(s) for implantation of neurostimulator electrodes, cortical",9.73,090,
,61860,"Craniectomy or craniotomy for implantation of neurostimulator electrodes, cere- bral, cortical",13.64,090,
,61863,"Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), without use of intraop- erative microelectrode recording; first array",9.55,090,
+,61864,"Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), without use of intraop- erative microelectrode recording; each additional array (List separately in addition to primary procedure)",4.73,ZZZ,
,61867,"Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), with use of intraopera- tive microelectrode recording; first array",14.18,090,
+,61868,"Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), with use of intraopera- tive microelectrode recording; each additional array (List separately in addition to primary procedure)",7.09,ZZZ,
