,Code,Description,Relative Value FUD,PC/TC Split
11620,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less",0.99,010,
11621,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm",1.17,010,
11622,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm",1.39,010,
11623,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm",1.71,010,
11624,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm",2.15,010,
11626,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm",2.69,010,
11640,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.5 cm or less",1.08,010,
11641,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.6 to 1.0 cm",1.39,010,
11642,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 1.1 to 2.0 cm",1.75,010,
11643,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm",2.24,010,
11644,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 3.1 to 4.0 cm",2.60,010,
11646,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter over 4.0 cm",3.23,010,
11719,"Trimming of nondystrophic nails, any number",0.18,000,
11720,Debridement of nail(s) by any method(s); 1 to 5,0.16,000,
11721,Debridement of nail(s) by any method(s); 6 or more,0.24,000,
11730,"Avulsion of nail plate, partial or complete, simple; single",0.34,000,
11732,"Avulsion of nail plate, partial or complete, simple; each additional nail plate (List separately in addition to code for primary procedure)",0.25,ZZZ,
11740,Evacuation of subungual hematoma,0.27,000,
11750,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal;",1.21,010,
11755,"Biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure)",0.54,000,
11760,Repair of nail bed,1.48,010,
11762,Reconstruction of nail bed with graft,2.15,010,
11765,"Wedge excision of skin of nail fold (eg, for ingrown toenail)",0.81,010,
11770,Excision of pilonidal cyst or sinus; simple,2.38,010,
11771,Excision of pilonidal cyst or sinus; extensive,3.41,090,
11772,Excision of pilonidal cyst or sinus; complicated,3.84,090,
11900,"Injection, intralesional; up to and including 7 lesions",0.22,000,
11901,"Injection, intralesional; more than 7 lesions",0.34,000,
11920,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.0 sq cm or less",2.24,000,
11921,"Tattooing, intradermal introduction of insoluble opaque pigments to correct defects of skin, including micropigmentation; 6.1 to 20.0 sq cm",color 4.49,000,
11922,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; each additional 20.0 sq cm, or part thereof (List separately in addition to code for primary procedure)",2.24,ZZZ,
11950,"Subcutaneous injection of filling material (eg, collagen); 1 cc or less",0.99,000,
11951,"Subcutaneous injection of filling material (eg, collagen); 1.1 to 5.0 cc",1.08,000,
11952,"Subcutaneous injection of filling material (eg, collagen); 5.1 to 10.0 cc",1.17,000,
