,Code,Description,Relative Value,FUD,PC/TC Split
+,27692,Transfer or transplant of single tendon (with muscle redirection or rerouting); each additional tendon (List separately in addition to code for primary procedure),1.73,ZZZ,
,27695,"Repair, primary, disrupted ligament, ankle; collateral",6.62,090,
,27696,"Repair, primary, disrupted ligament, ankle; both collateral ligaments",9.19,090,
,27698,"Repair, secondary, disrupted ligament, ankle, collateral (eg, Watson-Jones proce- dure)",9.19,090,
,27700,"Arthroplasty, ankle;",7.77,090,
,27704,Removal of ankle implant,9.19,090,
,27705,Osteotomy; tibia,12.07,090,
,27707,Osteotomy; fibula,5.18,090,
,27709,Osteotomy; tibia and fibula,14.66,090,
,27712,"Osteotomy; multiple, with realignment on intramedullary rod (eg, Sofield type pro- cedure)",11.36,090,
,27715,"Osteoplasty, tibia and fibula, lengthening or shortening",15.81,090,
,27720,"Repair of nonunion or malunion, tibia; without graft, (eg, compression technique)",12.94,090,
,27722,"Repair of nonunion or malunion, tibia; with sliding graft",14.24,090,
,27724,"Repair of nonunion or malunion, tibia; with iliac or other autograft (includes obtain- ing graft)",15.53,090,
,27725,"Repair of nonunion or malunion, tibia; by synostosis, with fibula, any method",15.53,090,
,27726,Repair of fibula nonunion and/or malunion with internal fixation,9.63,090,
,27730,"Arrest, epiphyseal (epiphysiodesis), open; distal tibia",5.18,090,
,27732,"Arrest, epiphyseal (epiphysiodesis), open; distal fibula",4.14,090,
,27734,"Arrest, epiphyseal (epiphysiodesis), open; distal tibia and fibula",7.25,090,
,27745,"Prophylactic treatment (nailing, pinning, plating or wiring) with or without methyl- methacrylate, tibia",8.69,090,
,27760,Closed treatment of medial malleolus fracture; without manipulation,2.27,090,
,27762,"Closed treatment of medial malleolus fracture; with manipulation, with or without skin or skeletal traction",4.32,090,
,27766,"Open treatment of medial malleolus fracture, includes internal fixation, when per- formed",7.77,090,
,27767,Closed treatment of posterior malleolus fracture; without manipulation,1.55,090,
,27768,Closed treatment of posterior malleolus fracture; with manipulation,2.59,090,
,27769,"Open treatment of posterior malleolus fracture, includes internal fixation, when performed",5.18,090,
,27780,Closed treatment of proximal fibula or shaft fracture; without manipulation,1.88,090,
,27781,Closed treatment of proximal fibula or shaft fracture; with manipulation,3.23,090,
,27784,"Open treatment of proximal fibula or shaft fracture, includes internal fixation, when performed",5.24,090,
,27786,Closed treatment of distal fibular fracture (lateral malleolus); without manipulation,1.98,090,
,27788,Closed treatment of distal fibular fracture (lateral malleolus); with manipulation,4.32,090,
,27792,"Open treatment of distal fibular fracture (lateral malleolus), includes internal fixa- tion, when performed",7.77,090,
,27808,"Closed treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and posterior malleoli or medial and posterior malleoli); without manipula- tion",2.59,090,
,27810,"Closed treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and posterior malleoli or medial and posterior malleoli); with manipulation",3.88,090,
,27814,"Open treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and posterior malleoli, or medial and posterior malleoli), includes internal fixation, when performed",8.63,090,
,27816,Closed treatment of trimalleolar ankle fracture; without manipulation,2.37,090,
