Code,Description,Relative Value,FUD,PC/TC Split
0165T,"Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, each additional interspace, lumbar (List separately in addition to code for primary procedure)",3.61,YYY,
0174T,"Computer-aided detection (CAD) (computer algorithm analysis of digital image data for lesion detection) with further physician review for interpretation and report, with or without digitization of film radiographic images, chest radio- graph(s), performed concurrent with primary interpretation (List separately in addition to code for primary procedure)",0.60,XXX,
0175T,"Computer-aided detection (CAD) (computer algorithm analysis of digital image data for lesion detection) with further physician review for interpretation and report, with or without digitization of film radiographic images, chest radio- graph(s), performed remote from primary interpretation",0.60,XXX,
0184T,"Excision of rectal tumor, transanal endoscopic microsurgical approach (ie, TEMS), including muscularis propria (ie, full thickness)",6.22,XXX,
0188T Remote,"real-time interactive video-conferenced critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",BR,XXX,
0189T,"Remote real-time interactive video-conferenced critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 min- utes (List separately in addition to code for primary service)",BR,XXX,
0190T,Placement of intraocular radiation source applicator (List separately in addition to primary procedure),1.87,XXX,
0191T,"Insertion of anterior segment aqueous drainage device, without extraocular reser- voir, internal approach, into the trabecular meshwork; initial insertion",6.40,XXX,
0195T,"Arthrodesis, pre-sacral interbody technique, disc space preparation, discectomy, without instrumentation, with image guidance, includes bone graft when per- formed; L5-S1 interspace",BR,XXX,
0196T,"Arthrodesis, pre-sacral interbody technique, disc space preparation, discectomy, without instrumentation, with image guidance, includes bone graft when per- formed; L4-L5 interspace (List separately in addition to code for primary proce- dure)",BR,XXX,
0198T,"Measurement of ocular blood flow by repetitive intraocular pressure sampling, with interpretation and report",9.99,XXX,
0200T,"Percutaneous sacral augmentation (sacroplasty), unilateral injection(s), including the use of a balloon or mechanical device,when used, 1 or more needles, includes imaging guidance and bone biopsy, when performed",8.70,XXX,
0201T,"Percutaneous sacral augmentation (sacroplasty), bilateral injections, including the use of a balloon or mechanical device,when used, 2 or more needles, includes imaging guidance and bone biopsy, when performed",11.98,XXX,
0202T,"Posterior vertebral joint(s) arthroplasty (eg, facet joint[s] replacement), including facetectomy, laminectomy, foraminotomy, and vertebral column fixation, injection of bone cement, when performed, including fluoroscopy, single level, lumbar spine",15.40,XXX,
0205T,"Intravascular catheter-based coronary vessel or graft spectroscopy (eg, infrared) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation, and report, each vessel (List separately in addition to code for primary procedure)",0.53,ZZZ,
0206T,"Computerized database analysis of multiple cycles of digitized cardiac electrical data from two or more ECG leads, including transmission to a remote center, appli- cation of multiple nonlinear mathematical transformations, with coronary artery obstruction severity assessment",37.42,XXX,
0207T,"Evacuation of meibomian glands, automated, using heat and intermittent pressure, unilateral",3.76,XXX,
0208T,"Pure tone audiometry (threshold), automated; air only",5.20,XXX,
0209T,"Pure tone audiometry (threshold), automated; air and bone",9.65,XXX,
0210T,"Speech audiometry threshold, automated;",6.43,XXX,
0211T,"Speech audiometry threshold, automated; with speech recognition",BR,XXX,
