Code,Description,Relative Value,FUD,PC/TC Split
96522,"Refilling and maintenance of implantable pump or reservoir for drug delivery, sys- temic (eg, intravenous, intra-arterial)",9.47,XXX,
96523,Irrigation of implanted venous access device for drug delivery systems,2.37,XXX,
96542,"Chemotherapy injection, subarachnoid or intraventricular via subcutaneous reser- voir, single or multiple agents",18.60,XXX,
96549,Unlisted chemotherapy procedure,BR,XXX,
96567,"Photodynamic therapy by external application of light to destroy premalignant lesions of the skin and adjacent mucosa with application and illumination/activa- tion of photosensitive drug(s), per day",52.42,XXX,
96570,Photodynamic therapy by endoscopic application of light to ablate abnormal tis- sue via activation of photosensitive drug(s); first 30 minutes (List separately in addition to code for endoscopy or bronchoscopy procedures of lung and gastroin- testinal tract),26.21,ZZZ,
96571,Photodynamic therapy by endoscopic application of light to ablate abnormal tis- sue via activation of photosensitive drug(s); each additional 15 minutes (List sepa- rately in addition to code for endoscopy or bronchoscopy procedures of lung and gastrointestinal tract),13.11,ZZZ,
96573,"Photodynamic therapy by external application of light to destroy premalignant lesions of the skin and adjacent mucosa with application and illumination/activa- tion of photosensitizing drug(s) provided by a physician or other qualified health care professional, per day",36.73,000,
96574,"Debridement of premalignant hyperkeratotic lesion(s) (ie, targeted curettage, abrasion) followed with photodynamic therapy by external application of light to destroy premalignant lesions of the skin and adjacent mucosa with application and illumination/activation of photosensitizing drug(s) provided by a physician or other qualified health care professional, per day",47.34,000,
96900,Actinotherapy (ultraviolet light),3.21,XXX,
96902,"Microscopic examination of hairs plucked or clipped by the examiner (excluding hair collected by the patient) to determine telogen and anagen counts, or struc- tural hair shaft abnormality",3.89,XXX,
96904,"Whole body integumentary photography, for monitoring of high risk patients with dysplastic nevus syndrome or a history of dysplastic nevi, or patients with a per- sonal or familial history of melanoma",15.22,XXX,
96910,Photochemotherapy; tar and ultraviolet B (Goeckerman treatment) or petrolatum and ultraviolet B,3.72,XXX,
96912,Photochemotherapy; psoralens and ultraviolet A (PUVA),4.31,XXX,
96913,Photochemotherapy (Goeckerman and/or PUVA) for severe photoresponsive der- matoses requiring at least 4-8 hours of care under direct supervision of the physi- cian (includes application of medication and dressings),10.29,XXX,
96920,Laser treatment for inflammatory skin disease (psoriasis); total area less than 250 sq cm,42.28,000,
96921,Laser treatment for inflammatory skin disease (psoriasis); 250 sq cm to 500 sq cm,63.41,000,
96922,Laser treatment for inflammatory skin disease (psoriasis); over 500 sq cm,46.50,000,
96931,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; image acquisition and interpretation and report, first lesion",32.70,XXX,
96932,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; image acquisition only, first lesion",23.74,XXX,
96933,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; interpretation and report only, first lesion",8.30,XXX,
96934,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; image acquisition and interpretation and report, each additional lesion (List separately in addition to code for primary procedure)",14.37,ZZZ,
96935,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; image acquisition only, each additional lesion (List separately in addition to",6.77,ZZZ,
