,Code,Description,Relative Value FUD,PC/TC Split
24006,"Arthrotomy of the elbow, with capsular excision for capsular release (separate procedure)",5.62,090,
24065,"Biopsy, soft tissue of upper arm or elbow area; superficial",0.61,010,
24066,"Biopsy, soft tissue of upper arm or elbow area; deep (subfascial or intramuscular)",3.45,090,
24071,"Excision, tumor, soft tissue of upper arm or elbow area, subcutaneous; 3 cm or greater",3.31,090,
24073,"Excision, tumor, soft tissue of upper arm or elbow area, subfascial (eg, intramus- cular); 5 cm or greater",4.66,090,
24075,"Excision, tumor, soft tissue of upper arm or elbow area, subcutaneous; less than 3 cm",1.81,090,
24076,"Excision, tumor, soft tissue of upper arm or elbow area, subfascial (eg, intramus- cular); less than 5 cm",3.31,090,
24077,"Radical resection of tumor (eg, sarcoma), soft tissue of upper arm or elbow area; less than 5 cm",10.23,090,
24079,"Radical resection of tumor (eg, sarcoma), soft tissue of upper arm or elbow area; 5 cm or greater",8.69,090,
24100,"Arthrotomy, elbow; with synovial biopsy only",5.93,090,
24101,"Arthrotomy, elbow; with joint exploration, with or without biopsy, with or without removal of loose or foreign body",6.72,090,
24102,"Arthrotomy, elbow; with synovectomy",9.19,090,
24105,"Excision, olecranon bursa",2.87,090,
24110,"Excision or curettage of bone cyst or benign tumor, humerus;",6.22,090,
24115,"Excision or curettage of bone cyst or benign tumor, humerus; with autograft (includes obtaining graft)",8.2,090,
24116,"Excision or curettage of bone cyst or benign tumor, humerus; with allograft",6.92,090,
24120,Excision or curettage of bone cyst or benign tumor of head or neck of radius or olecranon process;,5.24,090,
24125,Excision or curettage of bone cyst or benign tumor of head or neck of radius or olecranon process; with autograft (includes obtaining graft),6.62,090,
24126,Excision or curettage of bone cyst or benign tumor of head or neck of radius or olecranon process; with allograft,5.93,090,
24130,"Excision, radial head",6.47,090,
24134,"Sequestrectomy (eg, for osteomyelitis or bone abscess), shaft or distal humerus",8.6,090,
24136,"Sequestrectomy (eg, for osteomyelitis or bone abscess), radial head or neck",6.14,090,
24138,"Sequestrectomy (eg, for osteomyelitis or bone abscess), olecranon process",6.14,090,
24140,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteo- myelitis), humerus",7.9,090,
24145,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteo- myelitis), radial head or neck",6.47,090,
24147,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteo- myelitis), olecranon process",3.95,090,
24149,"Radical resection of capsule, soft tissue, and heterotopic bone, elbow, with con- tracture release (separate procedure)",7.87,090,
24150,"Radical resection of tumor, shaft or distal humerus",15.81,090,
24152,"Radical resection of tumor, radial head or neck",8.5,090,
24155,Resection of elbow joint (arthrectomy),9.88,090,
24160,"Removal of prosthesis, includes debridement and synovectomy when performed; humeral and ulnar components",3.95,090,
24164,"Removal of prosthesis, includes debridement and synovectomy when performed; radial head",2.67,090,
24200,"Removal of foreign body, upper arm or elbow area; subcutaneous",0.3,010,
24201,"Removal of foreign body, upper arm or elbow area; deep (subfascial or intramus- cular)",1.19,090,
