Code,Description,Relative Value,FUD,PC/TC Split
27238,"Closed treatment of intertrochanteric, peritrochanteric, or subtrochanteric femo- ral fracture; without manipulation",2.87,090,
27240,"Closed treatment of intertrochanteric, peritrochanteric, or subtrochanteric femo- ral fracture; with manipulation, with or without skin or skeletal traction",6.22,090,
27244,"Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral frac- ture; with plate/screw type implant, with or without cerclage",12.84,090,
27245,"Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral frac- ture; with intramedullary implant, with or without interlocking screws and/or cer- clage",12.84,090,
27246,"Closed treatment of greater trochanteric fracture, without manipulation",1.48,090,
27248,"Open treatment of greater trochanteric fracture, includes internal fixation, when performed",6.47,090,
27250,"Closed treatment of hip dislocation, traumatic; without anesthesia",2.47,000,
27252,"Closed treatment of hip dislocation, traumatic; requiring anesthesia",3.67,090,
27253,"Open treatment of hip dislocation, traumatic, without internal fixation",9.88,090,
27254,"Open treatment of hip dislocation, traumatic, with acetabular wall and femoral head fracture, with or without internal or external fixation",14.33,090,
27256,"Treatment of spontaneous hip dislocation (developmental, including congenital or pathological), by abduction, splint or traction; without anesthesia, without manipu- lation",4.19,010,
27257,"Treatment of spontaneous hip dislocation (developmental, including congenital or pathological), by abduction, splint or traction; with manipulation, requiring anes- thesia",4.32,010,
27258,"Open treatment of spontaneous hip dislocation (developmental, including congen- ital or pathological), replacement of femoral head in acetabulum (including tenot- omy, etc);",11.36,090,
27259,"Open treatment of spontaneous hip dislocation (developmental, including congen- ital or pathological), replacement of femoral head in acetabulum (including tenot- omy, etc); with femoral shaft shortening",12.84,090,
27265,Closed treatment of post hip arthroplasty dislocation; without anesthesia,2.56,090,
27266,Closed treatment of post hip arthroplasty dislocation; requiring regional or general anesthesia,3.07,090,
27267,"Closed treatment of femoral fracture, proximal end, head; without manipulation",3.21,090,
27268,"Closed treatment of femoral fracture, proximal end, head; with manipulation",4.14,090,
27269,"Open treatment of femoral fracture, proximal end, head, includes internal fixation, when performed",10.87,090,
27275,"Manipulation, hip joint, requiring general anesthesia",3.23,010,
27279,"Arthrodesis, sacroiliac joint, percutaneous or minimally invasive (indirect visual- ization), with image guidance, includes obtaining bone graft when performed, and placement of transfixing device",7.32,090,
27280,"Arthrodesis, open, sacroiliac joint, including obtaining bone graft, including instru- mentation, when performed",9.19,090,
27282,"Arthrodesis, symphysis pubis (including obtaining graft)",8.40,090,
27284,"Arthrodesis, hip joint (including obtaining graft);",19.76,090,
27286,"Arthrodesis, hip joint (including obtaining graft); with subtrochanteric osteotomy",20.75,090,
27290,Interpelviabdominal amputation (hindquarter amputation),32.60,090,
27295,Disarticulation of hip,19.76,090,
27299,"Unlisted procedure, pelvis or hip joint",BR,YYY,
27301,"Incision and drainage, deep abscess, bursa, or hematoma, thigh or knee region",3.23,090,
27303,"Incision, deep, with opening of bone cortex, femur or knee (eg, osteomyelitis or bone abscess)",5.09,090,
27305,"Fasciotomy, iliotibial (tenotomy), open",3.26,090,
