,Code,Description,Relative Value,FUD,PC/TC Split
,61590,"Infratemporal pre-auricular approach to middle cranial fossa (parapharyngeal space, infratemporal and midline skull base, nasopharynx), with or without disar- ticulation of the mandible, including parotidectomy, craniotomy, decompression and/or mobilization of the facial nerve and/or petrous carotid artery",36.15,090,
,61591,"Infratemporal post-auricular approach to middle cranial fossa (internal auditory meatus, petrous apex, tentorium, cavernous sinus, parasellar area, infratemporal fossa) including mastoidectomy, resection of sigmoid sinus, with or without decompression and/or mobilization of contents of auditory canal or petrous carotid artery",37.91,090,
,61592,"Orbitocranial zygomatic approach to middle cranial fossa (cavernous sinus and carotid artery, clivus, basilar artery or petrous apex) including osteotomy of zygoma, craniotomy, extra- or intradural elevation of temporal lobe",17.09,090,
,61595,"Transtemporal approach to posterior cranial fossa, jugular foramen or midline skull base, including mastoidectomy, decompression of sigmoid sinus and/or facial nerve, with or without mobilization",15.18,090,
,61596,"Transcochlear approach to posterior cranial fossa, jugular foramen or midline skull base, including labyrinthectomy, decompression, with or without mobilization of facial nerve and/or petrous carotid artery",16.36,090,
,61597,"Transcondylar (far lateral) approach to posterior cranial fossa, jugular foramen or midline skull base, including occipital condylectomy, mastoidectomy, resection of C1-C3 vertebral body(s), decompression of vertebral artery, with or without mobili- zation",21.09,090,
,61598,"Transpetrosal approach to posterior cranial fossa, clivus or foramen magnum, including ligation of superior petrosal sinus and/or sigmoid sinus",13.64,090,
,61600,"Resection or excision of neoplastic, vascular or infectious lesion of base of ante- rior cranial fossa; extradural",15.09,090,
,61601,"Resection or excision of neoplastic, vascular or infectious lesion of base of ante- rior cranial fossa; intradural, including dural repair, with or without graft",16.18,090,
,61605,"Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; extradural",17.09,090,
,61606,"Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; intradural, including dural repair, with or without graft",22.82,090,
,61607,"Resection or excision of neoplastic, vascular or infectious lesion of parasellar area, cavernous sinus, clivus or midline skull base; extradural",21.37,090,
,61608,"Resection or excision of neoplastic, vascular or infectious lesion of parasellar area, cavernous sinus, clivus or midline skull base; intradural, including dural repair, with or without graft",24.82,090,
+,61610,"Transection or ligation, carotid artery in cavernous sinus, with repair by anasto- mosis or graft (List separately in addition to code for primary procedure)",18.36,ZZZ,
+,61611,"Transection or ligation, carotid artery in petrous canal; without repair (List sepa- rately in addition to code for primary procedure)",4.55,ZZZ,
+,61612,"Transection or ligation, carotid artery in petrous canal; with repair by anastomosis or graft (List separately in addition to code for primary procedure)",17.18,ZZZ,
,61613,"Obliteration of carotid aneurysm, arteriovenous malformation, or carotid-cavern- ous fistula by dissection within cavernous sinus",24.37,090,
,61615,"Resection or excision of neoplastic, vascular or infectious lesion of base of poste- rior cranial fossa, jugular foramen, foramen magnum, or C1-C3 vertebral bodies; extradural",18.73,090,
,61616,"Resection or excision of neoplastic, vascular or infectious lesion of base of poste- rior cranial fossa, jugular foramen, foramen magnum, or C1-C3 vertebral bodies; intradural, including dural repair, with or without graft",25.55,090,
,61618,"Secondary repair of dura for cerebrospinal fluid leak, anterior, middle or posterior cranial fossa following surgery of the skull base; by free tissue graft (eg, pericra- nium, fascia, tensor fascia lata, adipose tissue, homologous or synthetic grafts)",13.64,090,
,61619,"Secondary repair of dura for cerebrospinal fluid leak, anterior, middle or posterior cranial fossa following surgery of the skull base; by local or regionalized vascular- ized pedicle flap or myocutaneous flap (including galea, temporalis, frontalis or occipitalis muscle)",21.82,090,
