,Code,Description,Relative Value,FUD,PC/TC Split
■,33262,Removal of implantable defibrillator pulse generator with replacement of implant- able defibrillator pulse generator; single lead system,3.47,090,
■,33263 Removal of implantable able defibrillator pulse,defibrillator pulse generator with replacement of implant- generator; dual lead system,3.61,090,
■ 33264,Removal of implantable defibrillator pulse generator with replacement of able defibrillator pulse generator; multiple lead system,implant-,3.75,090,
33265,"Endoscopy, surgical; operative tissue ablation and reconstruction of atria, limited (eg, modified maze procedure), without cardiopulmonary bypass",,11.14,090,
33266,"Endoscopy, surgical; operative tissue ablation and reconstruction of atria, exten- sive (eg, maze procedure), without cardiopulmonary bypass",15.27,,090,
■ 33270,"Insertion or replacement of permanent subcutaneous implantable defibrillator system, with subcutaneous electrode, including defibrillation threshold evalua- tion, induction of arrhythmia, evaluation of sensing for arrhythmia termination, programming or reprogramming of sensing or therapeutic parameters, when formed",and per-,5.54,090,
■ 33271,Insertion of subcutaneous implantable defibrillator,electrode,4.45,090,
■,33272,Removal of subcutaneous implantable defibrillator electrode,3.41,090,
■ 33273,Repositioning of previously implanted subcutaneous implantable,defibrillator elec- trode,3.92,090,
33282,Implantation of patient-activated cardiac,event recorder,3.08,090,
33284,Removal,"of an implantable, patient-activated cardiac event recorder",2.21,090,
33300,Repair,of cardiac wound; without bypass,10.30,090,
33305,Repair bypass,of cardiac wound; with cardiopulmonary,15.45,090,
33310,"Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); without bypass",,11.24,090,
33315,"Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); with cardiopulmonary bypass",,18.73,090,
33320,Suture repair of aorta or great vessels; without shunt or cardiopulmonary,bypass,10.58,090,
33321,Suture repair of aorta or great vessels; with shunt bypass,,12.92,090,
33322,Suture repair of aorta or great vessels; with cardiopulmonary bypass,,14.42,090,
33330,"Insertion of graft, aorta or great vessels; without shunt, or cardiopulmonary bypass",,15.45,090,
33335,"Insertion of graft, aorta or great vessels; with cardiopulmonary bypass",,19.11,090,
■ 33340,"Percutaneous transcatheter closure of the left atrial appendage with endocardial implant, including fluoroscopy, transseptal puncture, catheter placement(s), left atrial angiography, left atrial appendage angiography, when performed, and logical",radio- supervision and interpretation,7.75,000,
■ 33361,Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; percu- taneous femoral artery approach,,13.24,000,
■ 33362,Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve;,open femoral artery approach,14.46,000,
■ 33363,Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; axillary artery approach,open,14.99,000,
■,33364,Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; open iliac artery approach,15.79,000,
■,33365,"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; tran- saortic approach (eg, median sternotomy, mediastinotomy)",17.37,000,
■,33366,"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; tran- sapical exposure (eg, left thoracotomy)",18.79,000,
■ +,33367,"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; cardio- pulmonary bypass support with percutaneous peripheral arterial and venous can- nulation (eg, femoral vessels) (List separately in addition to code for primary procedure)",6.13,ZZZ,
