,Code,Description,Relative Value FUD,PC/TC Split
26700,"Closed treatment of metacarpophalangeal dislocation, single, with manipulation; without anesthesia",0.59,090,
26705,"Closed treatment of metacarpophalangeal dislocation, single, with manipulation; requiring anesthesia",1.68,090,
26706,"Percutaneous skeletal fixation of metacarpophalangeal dislocation, single, with manipulation",2.25,090,
26715,"Open treatment of metacarpophalangeal dislocation, single, includes internal fixa- tion, when performed",3.95,090,
26720,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb; without manipulation, each",0.77,090,
26725,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb; with manipulation, with or without skin or skeletal traction, each",1.09,090,
26727,"Percutaneous skeletal fixation of unstable phalangeal shaft fracture, proximal or middle phalanx, finger or thumb, with manipulation, each",2.45,090,
26735,"Open treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb, includes internal fixation, when performed, each",3.23,090,
26740,"Closed treatment of articular fracture, involving metacarpophalangeal or interpha- langeal joint; without manipulation, each",0.99,090,
26742,"Closed treatment of articular fracture, involving metacarpophalangeal or interpha- langeal joint; with manipulation, each",1.28,090,
26746,"Open treatment of articular fracture, involving metacarpophalangeal or interpha- langeal joint, includes internal fixation, when performed, each",4.15,090,
26750,"Closed treatment of distal phalangeal fracture, finger or thumb; without manipula- tion, each",0.3,090,
26755,"Closed treatment of distal phalangeal fracture, finger or thumb; with manipulation, each",0.49,090,
26756,"Percutaneous skeletal fixation of distal phalangeal fracture, finger or thumb, each",2.05,090,
26765,"Open treatment of distal phalangeal fracture, finger or thumb, includes internal fix- ation, when performed, each",1.48,090,
26770,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; without anesthesia",0.3,090,
26775,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; requiring anesthesia",0.59,090,
26776,"Percutaneous skeletal fixation of interphalangeal joint dislocation, single, with manipulation",3.23,090,
26785,"Open treatment of interphalangeal joint dislocation, includes internal fixation, when performed, single",3.23,090,
26820,"Fusion in opposition, thumb, with autogenous graft (includes obtaining graft)",6.62,090,
26841,"Arthrodesis, carpometacarpal joint, thumb, with or without internal fixation;",5.24,090,
26842,"Arthrodesis, carpometacarpal joint, thumb, with or without internal fixation; with autograft (includes obtaining graft)",6.62,090,
26843,"Arthrodesis, carpometacarpal joint, digit, other than thumb, each;",5.24,090,
26844,"Arthrodesis, carpometacarpal joint, digit, other than thumb, each; with autograft (includes obtaining graft)",6.62,090,
26850,"Arthrodesis, metacarpophalangeal joint, with or without internal fixation;",4.94,090,
26852,"Arthrodesis, metacarpophalangeal joint, with or without internal fixation; with autograft (includes obtaining graft)",6.22,090,
26860,"Arthrodesis, interphalangeal joint, with or without internal fixation;",3.66,090,
26861,"Arthrodesis, interphalangeal joint, with or without internal fixation; each additional interphalangeal joint (List separately in addition to code for primary procedure)",1.92,ZZZ,
26862,"Arthrodesis, interphalangeal joint, with or without internal fixation; with autograft (includes obtaining graft)",4.94,090,
26863,"Arthrodesis, interphalangeal joint, with or without internal fixation; with autograft (includes obtaining graft), each additional joint (List separately in addition to code for primary procedure)",2.35,ZZZ,
