Code,,Description,Relative Value FUD,Split,PC/TC
27070,"Partial excision, wing of ilium, symphysis pubis, or greater trochanter of femur, (craterization, saucerization) (eg, osteomyelitis or bone abscess); superficial",4.74,090,,
27071,"Partial excision, wing of ilium, symphysis pubis, or greater trochanter of femur, (craterization, saucerization) (eg, osteomyelitis or bone abscess); deep (subfascial or intramuscular)",6.47,090,,
27075,"Radical resection of tumor; wing of ilium, 1 pubic or ischial ramus or symphysis pubis",11.86,090,,
27076,"Radical resection of tumor; ilium, including acetabulum, both pubic rami, or ischium and acetabulum",14.82,090,,
27077,"Radical resection of tumor; innominate bone, total",14.82,090,,
27078,Radical resection of tumor; ischial tuberosity and greater trochanter of femur,11.86,090,,
27080,"Coccygectomy, primary",5.18,090,,
27086,"Removal of foreign body, pelvis or hip; subcutaneous tissue",3.23,010,,
27087,"Removal of foreign body, pelvis or hip; deep (subfascial or intramuscular)",4.45,090,,
27090,Removal of hip prosthesis; (separate procedure),9.19,090,,
27091,"Removal of hip prosthesis; complicated, including total hip prosthesis, methyl- methacrylate with or without insertion of spacer",11.36,090,,
27093,Injection procedure for hip arthrography; without anesthesia,0.59,000,,
27095,Injection procedure for hip arthrography; with anesthesia,3.23,000,,
27096,"Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance (fluoroscopy or CT) including arthrography when performed",1.04,000,,
27097,"Release or recession, hamstring, proximal",7.16,090,,
27098,"Transfer, adductor to ischium",6.42,090,,
27100,Transfer external oblique muscle to greater trochanter including fascial or tendon extension (graft),9.88,090,,
27105,Transfer paraspinal muscle to hip (includes fascial or tendon extension graft),10.37,090,,
27110,Transfer iliopsoas; to greater trochanter of femur,12.94,090,,
27111,Transfer iliopsoas; to femoral neck,9.88,090,,
27120,"Acetabuloplasty; (eg, Whitman, Colonna, Haygroves, or cup type)",15.81,090,,
27122,"Acetabuloplasty; resection, femoral head (eg, Girdlestone procedure)",13.34,090,,
27125,"Hemiarthroplasty, hip, partial (eg, femoral stem prosthesis, bipolar arthroplasty)",13.37,090,,
27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft",25.69,090,,
27132,"Conversion of previous hip surgery to total hip arthroplasty, with or without auto- graft or allograft",23.29,090,,
27134,"Revision of total hip arthroplasty; both components, with or without autograft or allograft",33.39,090,,
27137,"Revision of total hip arthroplasty; acetabular component only, with or without autograft or allograft",29.54,090,,
27138,"Revision of total hip arthroplasty; femoral component only, with or without allograft",29.54,090,,
27140,Osteotomy and transfer of greater trochanter of femur (separate procedure),5.18,090,,
27146,"Osteotomy, iliac, acetabular or innominate bone;",13.34,090,,
27147,"Osteotomy, iliac, acetabular or innominate bone; with open reduction of hip",14.62,090,,
27151,"Osteotomy, iliac, acetabular or innominate bone; with femoral osteotomy",16.1,090,,
27156,"Osteotomy, iliac, acetabular or innominate bone; with femoral osteotomy and with open reduction of hip",18.28,090,,
27158,"Osteotomy, pelvis, bilateral (eg, congenital malformation)",15.34,090,,
27161,"Osteotomy, femoral neck (separate procedure)",14.33,090,,
27165,"Osteotomy, intertrochanteric or subtrochanteric including internal or external fixa- tion and/or cast",14.33,090,,
