Code,,Description,Relative Value FUD,PC/TC Split
33010,Pericardiocentesis; initial,1.26,000,
33011,Pericardiocentesis; subsequent,0.77,000,
33015,Tube pericardiostomy,1.69,090,
33020,Pericardiotomy for removal of clot or foreign body (primary procedure),8.43,090,
33025,Creation of pericardial window or partial resection for drainage,8.62,090,
33030,"Pericardiectomy, subtotal or complete; without cardiopulmonary bypass",9.83,090,
33031,"Pericardiectomy, subtotal or complete; with cardiopulmonary bypass",17.79,090,
33050,Resection of pericardial cyst or tumor,9.37,090,
33120,"Excision of intracardiac tumor, resection with cardiopulmonary bypass",21.07,090,
33130,Resection of external cardiac tumor,14.05,090,
33140,"Transmyocardial laser revascularization, by thoracotomy; (separate procedure)",12.64,090,
33141,"Transmyocardial laser revascularization, by thoracotomy; performed at the time of other open cardiac procedure(s) (List separately in addition to code for primary procedure)",6.84,ZZZ,
33202,"Insertion of epicardial electrode(s); open incision (eg, thoracotomy, median ster- notomy, subxiphoid approach)",7.87,090,
33203,"Insertion of epicardial electrode(s); endoscopic approach (eg, thoracoscopy, peri- cardioscopy)",8.05,090,
33206,Insertion of new or replacement of permanent pacemaker with transvenous elec- trode(s); atrial,7.49,090,
33207,Insertion of new or replacement of permanent pacemaker with transvenous elec- trode(s); ventricular,7.96,090,
33208,Insertion of new or replacement of permanent pacemaker with transvenous elec- trode(s); atrial and ventricular,8.43,090,
33210,Insertion or replacement of temporary transvenous single chamber cardiac elec- trode or pacemaker catheter (separate procedure),3.47,000,
33211,Insertion or replacement of temporary transvenous dual chamber pacing elec- trodes (separate procedure),3.93,000,
33212,Insertion of pacemaker pulse generator only; with existing single lead,4.03,090,
33213,Insertion of pacemaker pulse generator only; with existing dual leads,4.31,090,
33214,"Upgrade of implanted pacemaker system, conversion of single chamber system to dual chamber system (includes removal of previously placed pulse generator, testing of existing lead, insertion of new lead, insertion of new pulse generator)",7.96,090,
33215,Repositioning of previously implanted transvenous pacemaker or implantable defibrillator (right atrial or right ventricular) electrode,3.56,090,
33216,"Insertion of a single transvenous electrode, permanent pacemaker or implantable defibrillator",3.93,090,
33217,"Insertion of 2 transvenous electrodes, permanent pacemaker or implantable defibrillator",4.31,090,
33218,"Repair of single transvenous electrode, permanent pacemaker or implantable defibrillator",2.29,090,
33220,Repair of 2 transvenous electrodes for permanent pacemaker or implantable defibrillator,2.48,090,
33221,Insertion of pacemaker pulse generator only; with existing multiple leads,4.31,090,
33222,Relocation of skin pocket for pacemaker,3.75,090,
33223,Relocation of skin pocket for implantable defibrillator,3.09,090,
33224,"Insertion of pacing electrode, cardiac venous system, for left ventricular pacing, with attachment to previously placed pacemaker or implantable defibrillator pulse generator (including revision of pocket, removal, insertion, and/or replacement of existing generator)",5.15,000,
