Code,Description,Relative Value,FUD,PC/TC Split
50690,"Injection procedure for visualization of ileal conduit and/or ureteropyelography, exclusive of radiologic service",0.37,000,
■ 50693,"Placement of ureteral stent, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or flu- oroscopy), and all associated radiological supervision and interpretation; pre-existing nephrostomy tract",8.15,000,
"■ 50694 Placement and/or oroscopy), access,","of ureteral stent, percutaneous, including diagnostic nephrostogram ureterogram when performed, imaging guidance (eg, ultrasound and/or flu- and all associated radiological supervision and interpretation; new without separate nephrostomy catheter",8.95,000,
■ 50695,"Placement of ureteral stent, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or flu- oroscopy), and all associated radiological supervision and interpretation; new access, with separate nephrostomy catheter",10.99,000,
"50700 Ureteroplasty,","plastic operation on ureter (eg, stricture)",8.43,090,
■ + 50705,"Ureteral embolization or occlusion, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)",15.94,ZZZ,
■ + 50706,"Balloon dilation, ureteral stricture, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)",8.15,ZZZ,
50715,"Ureterolysis, with or without repositioning of ureter for retroperitoneal fibrosis",8.43,090,
50722,Ureterolysis for ovarian vein syndrome,6.56,090,
50725,"Ureterolysis for retrocaval ureter, with reanastomosis of upper urinary tract or vena cava",11.24,090,
50727,Revision of urinary-cutaneous anastomosis (any type urostomy);,5.62,090,
50728,Revision of urinary-cutaneous anastomosis (any type urostomy); with repair of fascial defect and hernia,7.49,090,
"50740 Ureteropyelostomy,",anastomosis of ureter and renal pelvis,9.83,090,
50750,"Ureterocalycostomy, anastomosis of ureter to renal calyx",10.3,090,
50760,Ureteroureterostomy,9.83,090,
50770,"Transureteroureterostomy, anastomosis of ureter to contralateral ureter",10.3,090,
50780,Ureteroneocystostomy; anastomosis of single ureter to bladder,9.83,090,
50782,Ureteroneocystostomy; anastomosis of duplicated ureter to bladder,10.77,090,
50783,Ureteroneocystostomy; with extensive ureteral tailoring,11.24,090,
50785,Ureteroneocystostomy; with vesico-psoas hitch or bladder flap,11.71,090,
50800,"Ureteroenterostomy, direct anastomosis of ureter to intestine",9.83,090,
50810,"Ureterosigmoidostomy, with creation of sigmoid bladder and establishment of abdominal or perineal colostomy, including intestine anastomosis",14.98,090,
50815,"Ureterocolon conduit, including intestine anastomosis",14.98,090,
50820,"Ureteroileal conduit (ileal bladder), including intestine anastomosis (Bricker oper- ation)",14.98,090,
50825,"Continent diversion, including intestine anastomosis using any segment of small and/or large intestine (Kock pouch or Camey enterocystoplasty)",16.39,090,
50830,"Urinary undiversion (eg, taking down of ureteroileal conduit, ureterosigmoidos- tomy or ureteroenterostomy with ureteroureterostomy or ureteroneocystostomy)",9.37,090,
50840,"Replacement of all or part of ureter by intestine segment, including intestine anas- tomosis",14.98,090,
50845,Cutaneous appendico-vesicostomy,10.68,090,
50860,"Ureterostomy, transplantation of ureter to skin",7.49,090,
50900,"Ureterorrhaphy, suture of ureter (separate procedure)",8.43,090,
50920,Closure of ureterocutaneous fistula,8.43,090,
50930,Closure of ureterovisceral fistula (including visceral repair),10.3,090,
