Code,Description,Relative Value,FUD,PC/TC Split
21240,"Arthroplasty, temporomandibular joint, with or without autograft (includes obtain- ing graft)",13.93,090,
21242,"Arthroplasty, temporomandibular joint, with allograft",17.39,090,
21243,"Arthroplasty, temporomandibular joint, with prosthetic joint replacement",25.06,090,
21244,"Reconstruction of mandible, extraoral, with transosteal bone plate (eg, mandibular staple bone plate)",14.32,090,
21245,"Reconstruction of mandible or maxilla, subperiosteal implant; partial",18.41,090,
21246,"Reconstruction of mandible or maxilla, subperiosteal implant; complete",20.35,090,
21247,"Reconstruction of mandibular condyle with bone and cartilage autografts (includes obtaining grafts) (eg, for hemifacial microsomia)",19.94,090,
21248,"Reconstruction of mandible or maxilla, endosteal implant (eg, blade, cylinder); par- tial",15.85,090,
21249,"Reconstruction of mandible or maxilla, endosteal implant (eg, blade, cylinder); complete",20.45,090,
21255,Reconstruction of zygomatic arch and glenoid fossa with bone and cartilage (includes obtaining autografts),16.88,090,
21256,"Reconstruction of orbit with osteotomies (extracranial) and with bone grafts (includes obtaining autografts) (eg, micro-ophthalmia)",22.50,090,
21260,"Periorbital osteotomies for orbital hypertelorism, with bone grafts; extracranial approach",22.90,090,
21261,"Periorbital osteotomies for orbital hypertelorism, with bone grafts; combined intra- and extracranial approach",28.63,090,
21263,"Periorbital osteotomies for orbital hypertelorism, with bone grafts; with forehead advancement",37.84,090,
21267,"Orbital repositioning, periorbital osteotomies, unilateral, with bone grafts; extra- cranial approach",36.81,090,
21268,"Orbital repositioning, periorbital osteotomies, unilateral, with bone grafts; com- bined intra- and extracranial approach",44.99,090,
21270,"Malar augmentation, prosthetic material",9.21,090,
21275,Secondary revision of orbitocraniofacial reconstruction,22.50,090,
21280,Medial canthopexy (separate procedure),7.78,090,
21282,Lateral canthopexy,6.14,090,
21295,"Reduction of masseter muscle and bone (eg, for treatment of benign masseteric hypertrophy); extraoral approach",12.37,090,
21296,"Reduction of masseter muscle and bone (eg, for treatment of benign masseteric hypertrophy); intraoral approach",10.13,090,
21299,Unlisted craniofacial and maxillofacial procedure,BR,YYY,
21310,Closed treatment of nasal bone fracture without manipulation,1.03,000,
21315,Closed treatment of nasal bone fracture; without stabilization,0.79,010,
21320,Closed treatment of nasal bone fracture; with stabilization,1.98,010,
21325,Open treatment of nasal fracture; uncomplicated,2.67,090,
21330,"Open treatment of nasal fracture; complicated, with internal and/or external skele- tal fixation",6.22,090,
21335,Open treatment of nasal fracture; with concomitant open treatment of fractured septum,11.16,090,
21336,"Open treatment of nasal septal fracture, with or without stabilization",4.50,090,
21337,"Closed treatment of nasal septal fracture, with or without stabilization",2.87,090,
21338,Open treatment of nasoethmoid fracture; without external fixation,7.16,090,
21339,Open treatment of nasoethmoid fracture; with external fixation,7.87,090,
21340,"Percutaneous treatment of nasoethmoid complex fracture, with splint, wire or headcap fixation, including repair of canthal ligaments and/or the nasolacrimal apparatus",10.32,090,
