,Code,Description,Relative Value,FUD,PC/TC Split
,19105,"Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma",11.22,000,
,19110,"Nipple exploration, with or without excision of a solitary lactiferous duct or a pap- illoma lactiferous duct",2.02,090,
,19112,Excision of lactiferous duct fistula,2.11,090,
,19120,"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion (except 19300), open, male or female, 1 or more lesions",2.45,090,
,19125,"Excision of breast lesion identified by preoperative placement of radiological marker, open; single lesion",2.69,090,
+,19126,"Excision of breast lesion identified by preoperative placement of radiological marker, open; each additional lesion separately identified by a preoperative radio- logical marker (List separately in addition to code for primary procedure)",1.35,ZZZ,
,19260,Excision of chest wall tumor including ribs,6.18,090,
,19271,"Excision of chest wall tumor involving ribs, with plastic reconstruction; without mediastinal lymphadenectomy",9.95,090,
,19272,"Excision of chest wall tumor involving ribs, with plastic reconstruction; with medi- astinal lymphadenectomy",10.85,090,
■,19281,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including mammographic guidance",0.74,000,
■ +,19282,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including mam- mographic guidance (List separately in addition to code for primary procedure)",1.05,ZZZ,
■,19283,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including stereotactic guidance",1.71,000,
■ +,19284,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including stereotactic guidance (List separately in addition to code for primary procedure)",1.29,ZZZ,
■,19285,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including ultrasound guidance",3.26,000,
■ +,19286,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)",2.86,ZZZ,
■,19287,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including magnetic resonance guid- ance",5.41,000,
■ +,19288,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including magnetic res- onance guidance (List separately in addition to code for primary procedure)",4.37,ZZZ,
■ +,19294,"Preparation of tumor cavity, with placement of a radiation therapy applicator for intraoperative radiation therapy (IORT) concurrent with partial mastectomy (List separately in addition to code for primary procedure)",1.25,ZZZ,
,19296,"Placement of radiotherapy afterloading expandable catheter (single or multichan- nel) into the breast for interstitial radioelement application following partial mas- tectomy, includes imaging guidance; on date separate from partial mastectomy",35.02,000,
+,19297,"Placement of radiotherapy afterloading expandable catheter (single or multichan- nel) into the breast for interstitial radioelement application following partial mas- tectomy, includes imaging guidance; concurrent with partial mastectomy (List separately in addition to code for primary procedure)",0.7,ZZZ,
■,19298,"Placement of radiotherapy after loading brachytherapy catheters (multiple tube and button type) into the breast for interstitial radioelement application following (at the time of or subsequent to) partial mastectomy, includes imaging guidance",13.29,000,
,19300,Mastectomy for gynecomastia,3.59,090,
,19301,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentec- tomy);",2.78,090,
,19302,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentec- tomy); with axillary lymphadenectomy",6.28,090,
