,Code,Description,Relative Value,FUD,PC/TC Split
,64760,"Transection or avulsion of; vagus nerve (vagotomy), abdominal",6.36,090,
,64763,"Transection or avulsion of obturator nerve, extrapelvic, with or without adductor tenotomy",2.73,090,
,64766,"Transection or avulsion of obturator nerve, intrapelvic, with or without adductor tenotomy",4.09,090,
,64771,"Transection or avulsion of other cranial nerve, extradural",4.55,090,
,64772,"Transection or avulsion of other spinal nerve, extradural",2.73,090,
,64774,"Excision of neuroma; cutaneous nerve, surgically identifiable",2.09,090,
,64776,"Excision of neuroma; digital nerve, 1 or both, same digit",2.18,090,
+,64778,"Excision of neuroma; digital nerve, each additional digit (List separately in addition to code for primary procedure)",0.89,ZZZ,
,64782,"Excision of neuroma; hand or foot, except digital nerve",2.91,090,
+,64783,"Excision of neuroma; hand or foot, each additional nerve, except same digit (List separately in addition to code for primary procedure)",1.45,ZZZ,
,64784,"Excision of neuroma; major peripheral nerve, except sciatic",4.27,090,
,64786,Excision of neuroma; sciatic nerve,6.09,090,
+,64787,Implantation of nerve end into bone or muscle (List separately in addition to neu- roma excision),3.18,ZZZ,
,64788,Excision of neurofibroma or neurolemmoma; cutaneous nerve,3.27,090,
,64790,Excision of neurofibroma or neurolemmoma; major peripheral nerve,5,090,
,64792,Excision of neurofibroma or neurolemmoma; extensive (including malignant type),5.91,090,
,64795,Biopsy of nerve,1.82,000,
,64802,"Sympathectomy, cervical",6.59,090,
,64804,"Sympathectomy, cervicothoracic",9.64,090,
,64809,"Sympathectomy, thoracolumbar",9.36,090,
,64818,"Sympathectomy, lumbar",6.82,090,
,64820,"Sympathectomy; digital arteries, each digit",3.36,090,
,64821,Sympathectomy; radial artery,3.36,090,
,64822,Sympathectomy; ulnar artery,3.36,090,
,64823,Sympathectomy; superficial palmar arch,3.36,090,
,64831,"Suture of digital nerve, hand or foot; 1 nerve",3.41,090,
+,64832,"Suture of digital nerve, hand or foot; each additional digital nerve (List separately in addition to code for primary procedure)",2.27,ZZZ,
,64834,"Suture of 1 nerve; hand or foot, common sensory nerve",3.73,090,
,64835,Suture of 1 nerve; median motor thenar,3.91,090,
,64836,Suture of 1 nerve; ulnar motor,4.55,090,
+,64837,"Suture of each additional nerve, hand or foot (List separately in addition to code for primary procedure)",2.27,ZZZ,
,64840,Suture of posterior tibial nerve,5.45,090,
,64856,"Suture of major peripheral nerve, arm or leg, except sciatic; including transposi- tion",6.82,090,
,64857,"Suture of major peripheral nerve, arm or leg, except sciatic; without transposition",5.45,090,
,64858,Suture of sciatic nerve,6.36,090,
+,64859,Suture of each additional major peripheral nerve (List separately in addition to code for primary procedure),2.82,ZZZ,
,64861,Suture of; brachial plexus,6.36,090,
,64862,Suture of; lumbar plexus,8,090,
,64864,Suture of facial nerve; extracranial,6.18,090,
,64865,"Suture of facial nerve; infratemporal, with or without grafting",7.73,090,
