Code,Description,Relative Value,FUD,PC/TC Split
50390,"Aspiration and/or injection of renal cyst or pelvis by needle, percutaneous",1.31,000,
50391,"Instillation(s) of therapeutic agent into renal pelvis and/or ureter through estab- lished nephrostomy, pyelostomy or ureterostomy tube (eg, anticarcinogenic or antifungal agent)",1.22,000,
50395,"Introduction of guide into renal pelvis and/or ureter with dilation to establish nephrostomy tract, percutaneous",2.81,000,
50396,"Manometric studies through nephrostomy or pyelostomy tube, or indwelling uret- eral catheter",0.47,000,
50400,"Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; simple",9.37,090,
50405,"Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; complicated (congenital kidney abnormality, secondary pyeloplasty, sol- itary kidney, calycoplasty)",11.24,090,
50430,"Injection procedure for antegrade nephrostogram and/or ureterogram, complete diagnostic procedure including imaging guidance (eg, ultrasound and fluoros- copy) and all associated radiological supervision and interpretation; new access",3.79,000,
50431,"Injection procedure for antegrade nephrostogram and/or ureterogram, complete diagnostic procedure including imaging guidance (eg, ultrasound and fluoros- copy) and all associated radiological supervision and interpretation; existing access",1.35,000,
50432,"Placement of nephrostomy catheter, percutaneous, including diagnostic nephros- togram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation",6.37,000,
50433,"Placement of nephroureteral catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultra- sound and/or fluoroscopy) and all associated radiological supervision and inter- pretation, new access",8.72,000,
50434,"Convert nephrostomy catheter to nephroureteral catheter, percutaneous, includ- ing diagnostic nephrostogram and/or ureterogram when performed, imaging guid- ance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, via pre-existing nephrostomy tract",6.83,000,
50435,"Exchange nephrostomy catheter, percutaneous, including diagnostic nephrosto- gram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation",0.42,000,
50500,"Nephrorrhaphy, suture of kidney wound or injury",8.43,090,
50520,Closure of nephrocutaneous or pyelocutaneous fistula,8.43,090,
50525,"Closure of nephrovisceral fistula (eg, renocolic), including visceral repair; abdomi- nal approach",10.3,090,
50526,"Closure of nephrovisceral fistula (eg, renocolic), including visceral repair; thoracic approach",10.3,090,
50540,"Symphysiotomy for horseshoe kidney with or without pyeloplasty and/or other plastic procedure, unilateral or bilateral (1 operation)",13.11,090,
50541,"Laparoscopy, surgical; ablation of renal cysts",7.49,090,
50542,"Laparoscopy, surgical; ablation of renal mass lesion(s), including intraoperative ultrasound guidance and monitoring, when performed",8.43,090,
50543,"Laparoscopy, surgical; partial nephrectomy",10.3,090,
50544,"Laparoscopy, surgical; pyeloplasty",9.37,090,
50545,"Laparoscopy, surgical; radical nephrectomy (includes removal of Gerota's fascia and surrounding fatty tissue, removal of regional lymph nodes, and adrenalec- tomy)",13.39,090,
50546,"Laparoscopy, surgical; nephrectomy, including partial ureterectomy",8.43,090,
50547,"Laparoscopy, surgical; donor nephrectomy (including cold preservation), from liv- ing donor",14.98,090,
50548,"Laparoscopy, surgical; nephrectomy with total ureterectomy",10.3,090,
