Code,Description,Relative Value,FUD,PC/TC Split
37760,"Ligation of perforator veins, subfascial, radical (Linton type), including skin graft, when performed, open,1 leg",5.71,090,
37761,"Ligation of perforator vein(s), subfascial, open, including ultrasound guidance, when performed, 1 leg",4.31,090,
37765,"Stab phlebectomy of varicose veins, 1 extremity; 10-20 stab incisions",4.21,090,
37766,"Stab phlebectomy of varicose veins, 1 extremity; more than 20 incisions",5.15,090,
37780,Ligation and division of short saphenous vein at saphenopopliteal junction (sepa- rate procedure),0.94,090,
37785,"Ligation, division, and/or excision of varicose vein cluster(s), 1 leg",2.34,090,
37788,"Penile revascularization, artery, with or without vein graft",12.92,090,
37790,Penile venous occlusive procedure,4.87,090,
37799,"Unlisted procedure, vascular surgery",BR,YYY,
38100,Splenectomy; total (separate procedure),8.43,090,
38101,Splenectomy; partial (separate procedure),8.43,090,
38102,"Splenectomy; total, en bloc for extensive disease, in conjunction with other proce- dure (List in addition to code for primary procedure)",4.21,ZZZ,
38115,Repair of ruptured spleen (splenorrhaphy) with or without partial splenectomy,7.96,090,
38120,"Laparoscopy, surgical, splenectomy",8.43,090,
38129,"Unlisted laparoscopy procedure, spleen",BR,YYY,
38200,Injection procedure for splenoportography,1.59,000,
38204,Management of recipient hematopoietic progenitor cell donor search and cell acquisition,0.94,XXX,
38205,"Blood-derived hematopoietic progenitor cell harvesting for transplantation, per collection; allogeneic",1.59,000,
38206,"Blood-derived hematopoietic progenitor cell harvesting for transplantation, per collection; autologous",1.59,000,
38207,Transplant preparation of hematopoietic progenitor cells; cryopreservation and storage,0.54,XXX,
38208,"Transplant preparation of hematopoietic progenitor cells; thawing of previously frozen harvest, without washing, per donor",0.59,XXX,
38209,"Transplant preparation of hematopoietic progenitor cells; thawing of previously frozen harvest, with washing, per donor",0.52,XXX,
38210,"Transplant preparation of hematopoietic progenitor cells; specific cell depletion within harvest, T-cell depletion",0.56,XXX,
38211,Transplant preparation of hematopoietic progenitor cells; tumor cell depletion,0.56,XXX,
38212,Transplant preparation of hematopoietic progenitor cells; red blood cell removal,0.56,XXX,
38213,Transplant preparation of hematopoietic progenitor cells; platelet depletion,0.56,XXX,
38214,Transplant preparation of hematopoietic progenitor cells; plasma (volume) deple- tion,0.47,XXX,
38215,"Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer",0.56,XXX,
38220,Diagnostic bone marrow; aspiration(s),0.59,XXX,
38221,Diagnostic bone marrow; biopsy(ies),0.63,XXX,
38222,Diagnostic bone marrow; biopsy(ies) and aspiration(s),1.38,XXX,
38230,Bone marrow harvesting for transplantation; allogeneic,3.32,000,
38232,Bone marrow harvesting for transplantation; autologous,1.74,000,
38240,Hematopoietic progenitor cell (HPC); allogeneic transplantation per donor,2.41,XXX,
38241,Hematopoietic progenitor cell (HPC); autologous transplantation,2.18,XXX,
38242,Allogeneic lymphocyte infusions,2.41,000,
38243,Hematopoietic progenitor cell (HPC); HPC boost,1.04,000,
