,Code,Description,Relative Value,FUD,PC/TC Split
,12042,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm",0.86,010,
,12044,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm",1.13,010,
,12045,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm",1.49,010,
,12046,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 20.1 cm to 30.0 cm",1.94,010,
,12047,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; over 30.0 cm",2.29,010,
,12051,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",0.86,010,
,12052,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",1.08,010,
,12053,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",1.44,010,
,12054,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",1.89,010,
,12055,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm",2.43,010,
,12056,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm",3.10,010,
,12057,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm",2.60,010,
,13100,"Repair, complex, trunk; 1.1 cm to 2.5 cm",0.85,010,
,13101,"Repair, complex, trunk; 2.6 cm to 7.5 cm",1.53,010,
+,13102,"Repair, complex, trunk; each additional 5 cm or less (List separately in addition to code for primary procedure)",0.61,ZZZ,
,13120,"Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm",1.35,010,
,13121,"Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm",2.60,010,
+,13122,"Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List sepa- rately in addition to code for primary procedure)",0.83,ZZZ,
,13131,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm",1.35,010,
,13132,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm",3.50,010,
+,13133,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; each additional 5 cm or less (List separately in addition to code for pri- mary procedure)",1.21,ZZZ,
,13151,"Repair, complex, eyelids, nose, ears and/or lips; 1.1 cm to 2.5 cm",2.00,010,
,13152,"Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm",4.00,010,
+,13153,"Repair, complex, eyelids, nose, ears and/or lips; each additional 5 cm or less (List separately in addition to code for primary procedure)",1.55,ZZZ,
,13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated",2.60,090,
,14000,"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less",2.74,090,
,14001 14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less",3.90,090,
,14021,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq",,,
,,cm to 30.0 sq cm,5.20,090,
,14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less",5.20,090,
,14041,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm",6.70,090,
