,Code,Description,Relative Value FUD,PC/TC Split
24500,Closed treatment of humeral shaft fracture; without manipulation,1.94,090,
24505,"Closed treatment of humeral shaft fracture; with manipulation, with or without skeletal traction",3.67,090,
24515,"Open treatment of humeral shaft fracture with plate/screws, with or without cer- clage",12.07,090,
24516,"Treatment of humeral shaft fracture, with insertion of intramedullary implant, with or without cerclage and/or locking screws",12.07,090,
24530,"Closed treatment of supracondylar or transcondylar humeral fracture, with or without intercondylar extension; without manipulation",3.23,090,
24535,"Closed treatment of supracondylar or transcondylar humeral fracture, with or without intercondylar extension; with manipulation, with or without skin or skeletal traction",6.47,090,
24538,"Percutaneous skeletal fixation of supracondylar or transcondylar humeral frac- ture, with or without intercondylar extension",8.63,090,
24545,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; without intercondylar extension",10.79,090,
24546,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; with intercondylar extension",12.94,090,
24560,"Closed treatment of humeral epicondylar fracture, medial or lateral; without manipulation",1.29,090,
24565,"Closed treatment of humeral epicondylar fracture, medial or lateral; with manipu- lation",2.15,090,
24566,"Percutaneous skeletal fixation of humeral epicondylar fracture, medial or lateral, with manipulation",5.18,090,
24575,"Open treatment of humeral epicondylar fracture, medial or lateral, includes inter- nal fixation, when performed",6.47,090,
24576,"Closed treatment of humeral condylar fracture, medial or lateral; without manipu- lation",3.45,090,
24577,"Closed treatment of humeral condylar fracture, medial or lateral; with manipula- tion",5.18,090,
24579,"Open treatment of humeral condylar fracture, medial or lateral, includes internal fixation, when performed",8.63,090,
24582,"Percutaneous skeletal fixation of humeral condylar fracture, medial or lateral, with manipulation",6.47,090,
24586,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius);,12.07,090,
24587,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius); with implant arthro- plasty,11.65,090,
24600,Treatment of closed elbow dislocation; without anesthesia,1.19,090,
24605,Treatment of closed elbow dislocation; requiring anesthesia,3.23,090,
24615,Open treatment of acute or chronic elbow dislocation,7.77,090,
24620,"Closed treatment of Monteggia type of fracture dislocation at elbow (fracture proximal end of ulna with dislocation of radial head), with manipulation",3.23,090,
24635,"Open treatment of Monteggia type of fracture dislocation at elbow (fracture proxi- mal end of ulna with dislocation of radial head), includes internal fixation, when performed",10.79,090,
24640,"Closed treatment of radial head subluxation in child, nursemaid elbow, with manipulation",0.79,010,
24650,Closed treatment of radial head or neck fracture; without manipulation,1.29,090,
24655,Closed treatment of radial head or neck fracture; with manipulation,2.15,090,
24665,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed;",6.47,090,
24666,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed; with radial head prosthetic replacement",6.62,090,
