Code,Description,Relative Value,FUD,PC/TC Split
35011,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm and associated occlusive dis- ease, axillary-brachial artery, by arm incision",9.74,090,
35013,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, axillary-brachial artery, by arm incision",10.3,090,
35021,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, innominate, subclavian artery, by thoracic incision",13.11,090,
35022,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, innominate, subcla- vian artery, by thoracic incision",11.71,090,
35045,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, radial or ulnar artery",8.43,090,
35081,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, abdominal aorta",14.98,090,
35082,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta",15.45,090,
35091,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, abdominal aorta involving visceral vessels (mesenteric, celiac, renal)",17.23,090,
35092,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving visceral vessels (mesenteric, celiac, renal)",18.73,090,
35102,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, abdominal aorta involving iliac vessels (common, hypo- gastric, external)",15.92,090,
35103,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving iliac vessels (common, hypogastric, external)",15.45,090,
35111,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, splenic artery",10.49,090,
35112,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, splenic artery",10.77,090,
35121,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, hepatic, celiac, renal, or mesenteric artery",13.49,090,
35122,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, hepatic, celiac, renal, or mesenteric artery",12.64,090,
35131,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, iliac artery (common, hypogastric, external)",12.64,090,
35132,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, iliac artery (common, hypogastric, external)",13.11,090,
35141,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associ- ated occlusive disease, common femoral artery (profunda femoris, superficial femoral)",10.77,090,
35142,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, common femoral artery (profunda femoris, superficial femoral)",10.77,090,
